concept,d1,d2,d3
dress,0.34333062,-0.061264873,0.15721963
pants,0.052213747,-0.29153565,-0.043532956
shirt,0.25764692,-0.17628671,-0.10249996
shoes,0.13166915,-0.29914096,-0.20336843
socks,0.13372989,-0.24410777,-0.2750721
above,-0.034047067,-0.06858101,0.2136826
below,-0.26803446,-0.122212335,-0.14197533
beside,-0.17631862,-0.16601773,0.25139698
far,-0.13909897,0.21842457,-0.02034222
near,-0.12714297,-0.17643,0.19081226
angry,-0.21180087,0.18772459,-0.28128898
disgust,-0.29047415,0.13810498,-0.29250535
fearful,-0.1837106,0.07005057,-0.18767117
happy,0.10592578,0.04619141,0.16403258
sad,-0.21102701,0.07377057,-0.24972601
blueberry,0.19944552,-0.029900162,-0.08404107
lemon,0.033056363,0.30491066,0.15442958
mango,0.08614884,0.1816413,0.28576106
strawberry,0.24867144,0.11412758,0.2135324
watermelon,0.14924344,0.12264715,0.12065456
beach,0.074054725,-0.0999683,0.02499991
field,-0.044447027,0.1697427,0.14470695
ocean,0.0685292,-0.061285455,0.011255326
sky,0.08526652,-0.036208153,-0.013189287
sunset,0.09726175,0.087090425,0.16463311
dawn,-0.055820074,0.070772626,-0.016857196
day,0.048250403,0.032772448,0.090696886
dusk,-0.10040828,0.052972574,-0.08945804
night,-0.12392833,0.0039407173,-0.15081449
noon,-0.012520342,0.09309022,0.11926372
