"","concepts","c1_pred","c2_pred","c3_pred"
"1","dress","-0.0493834586780454","0.0943405235932955","-0.0713515567289205"
"2","above","-0.0421621522022371","0.03292338996642","-0.0101517510548875"
"3","angry","0.0235184499151805","0.0211284848885911","-0.0418740577555745"
"4","blueberry","0.102327367942639","-0.166119507889093","0.0104469236608648"
"5","beach","0.00173153989748228","0.0599167360216453","0.153038233429626"
"6","dawn","-0.00166440962222108","0.0178215981068197","0.0354729489083409"
"7","pants","-0.249520113516622","0.0408210154438208","-0.0622224634839229"
"8","below","-0.101210335049246","-0.0357455252569895","0.0816863901571398"
"9","disgust","0.0674440677185876","0.0558855507992432","-0.112604506682992"
"10","lemon","0.0910236101161896","-0.051717190972412","-0.0726042639625406"
"11","field","-0.0298517781493049","0.0545824006489665","-0.0157903440306053"
"12","day","-0.0274818773117603","0.00438347996610198","-0.0079075213645016"
"13","shirt","-0.0923184161642016","0.0848148661447783","-0.070031926029659"
"14","beside","-0.0257157119315337","-0.0242842040974384","-0.00248420935532585"
"15","fearful","-0.00604018328805592","-0.0092999161026494","-0.0870740987112035"
"16","mango","0.133424968842886","-0.0746049375533626","0.0279277313808146"
"17","ocean","0.0904994472227244","0.105740528533145","0.102272325790565"
"18","dusk","0.0909521460633356","0.0141143757802105","0.113155664490733"
"19","shoes","-0.110410135462288","0.0931365451623217","-0.091956548463445"
"20","far","0.00333560991422311","-0.0115386015951569","0.0410674022883242"
"21","happy","0.0692800263455216","0.0430549473213878","-0.0573150177639638"
"22","strawberry","0.0576326127627847","-0.0767851602267826","-0.0316300163082043"
"23","sky","0.0238784349041936","0.0141419616074653","0.0502128490018246"
"24","night","-0.0416586379497792","-0.0738908469615633","0.0730226980691188"
"25","socks","-0.101284623279787","0.117804417384335","-0.0794017036925134"
"26","near","-0.0779214822195018","-0.0762671803105847","-0.0385636783473339"
"27","sad","-0.0244389294937567","-0.105634752642768","-0.0405454003057653"
"28","watermelon","0.0910673366241755","-0.0190335368096451","0.0724956871459273"
"29","sunset","-0.048097531658911","0.00584266001640382","0.0916331658069244"
"30","noon","-0.127809279197609","-0.00309125630210803","0.0420355196216588"
