"","concepts","c1_pred","c2_pred","c3_pred"
"1","dress","-0.0651620075102749","0.106661957205259","-0.116873427777942"
"2","above","-0.0283099840587625","-0.0296698530204518","0.0115944142639296"
"3","angry","0.02196217492949","-0.00959881433304399","-0.072476786714752"
"4","blueberry","0.165221930659745","-0.136626919741234","-0.00351804453055301"
"5","beach","0.0372950113606934","0.087480189497649","0.0281861026400057"
"6","dawn","0.00172442263501447","-0.0181738105989723","0.0102063467170809"
"7","pants","-0.171428153619363","0.0849907011012536","-0.0981278712683538"
"8","below","-0.143136811631679","-0.0653305951525591","0.103293904422674"
"9","disgust","0.0440401801987865","0.0702088752323614","-0.125350741296982"
"10","lemon","0.0829405174110137","-0.0708197569113256","0.0229636012336882"
"11","field","-0.0590682354766085","0.0204774312203077","0.027693075729758"
"12","day","-0.0538605619829969","0.00593632749077607","-0.0111630507694244"
"13","shirt","-0.0879041041912364","0.0698528905560055","-0.0811525944901225"
"14","beside","0.0040150091918209","-0.0367657737824108","0.0347793016081861"
"15","fearful","0.00184877286639296","0.0130482006156115","-0.0573084676564762"
"16","mango","0.0976449099027187","-0.101079563102034","0.0181865178459047"
"17","ocean","0.114743536140376","0.124233847288781","0.123387289622517"
"18","dusk","0.0676026419242586","0.00657151899377367","0.146611480387348"
"19","shoes","-0.0920824218391422","0.0726042111846732","-0.070434390232788"
"20","far","0.0325469592499846","-0.0304175574700182","-0.00066830020748613"
"21","happy","0.0970492335800982","-0.00806926034171506","-0.0830972193617078"
"22","strawberry","0.0719936235386713","-0.0759437694984239","0.0370159791017005"
"23","sky","0.0162728564604703","-0.00369076054705102","0.0229297867460331"
"24","night","-0.0916904693455933","-0.0598586433188828","0.082104216426218"
"25","socks","-0.0645649006527988","0.127743047926405","-0.082038200248052"
"26","near","-0.0503191868490591","-0.0496015357313064","-0.029068123009993"
"27","sad","-0.0748043685384127","-0.123637609794341","-0.0322691598313374"
"28","watermelon","0.079609938071572","-0.00941709591913392","0.0428692588953757"
"29","sunset","-0.0609873808876694","0.0508926885501246","0.13245263146361"
"30","noon","-0.0856821072738242","-0.0451572404802446","-0.085768515447731"
