"","x","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58"
"1",1,0.10801970546042,0.156288163346352,0.13228922170851,0.12745442414578,0.207451476299846,0.19179644360887,0.180628188013253,0.197778627024184,0.258077914491068,0.171295166807787,0.153673061429874,0.187980838943035,0.168742578403494,0.202035725960715,0.222512071257934,0.187968128611595,0.15953140095277,0.148956617624154,0.165352599195368,0.214998540279418,0.125203641422581,0.130102780429359,0.292109589481408,0.206384239738377,0.170766390365257,0.168392879736325,0.27841598577906,0.120310451129424,0.145116494213586,0.203892295508248,0.207556945093196,0.203426702539747,0.136441085088729,0.104133814133326,0.116045281578796,0.13010473832583,-0.0129119283612675,0.0562398525363807,0.109540193373837,0.0773033384161567,0.0815842562002354,0.181513419805194,0.139229823148993,0.173562161720483,0.060023684932222,0.0805878184186768,0.0883699901985276,0.0956887459268692,0.000798972086513275,0.128559245015987,0.0234689804155048,0.0503138416388459,0.0612604579345847,0.12879923283347,0.0367284872765346,0.0476863457178815,0.112766870656142,0.0644293998654232
"2",2,-0.000327292946496941,0.203721618618467,0.0878722802827646,0.0406473410296335,-0.00880381306719028,-0.00767631884901007,0.0372005430290014,-0.0506083839714752,-0.0317472718715091,-0.0660995472512446,0.047931193159182,0.10400080611294,0.0412794016399281,-0.0384792913435048,-0.0450753975032406,-0.0708587279580272,0.0402801575969624,0.0703103334250032,-0.0055779800922708,-0.0743076938263067,-0.00451515375150801,-0.0358969889720459,0.327806142623776,0.285036803113934,0.229711812590126,0.23585705209533,0.259084982072293,0.0590676706723754,0.0367020979108411,0.00243076221155087,-0.060649494377105,-0.0764475455162882,0.0271533487835167,0.00363734483944745,-0.0100878921664159,-0.0883797185936782,0.125013866917668,0.166877544267225,0.170796122618149,0.163890616777615,0.0165026701811488,-0.0485704828449883,-0.0773319387431599,-0.109452438868757,-0.0144925577551141,-0.00874114226619774,-0.0585549367346127,-0.0670169386174293,-0.00551694568393039,0.0268874519284419,-0.056733885112233,-0.03217335302174,-0.0955744248681066,-0.0930506120319861,-0.0751713615766038,-0.0992130624556575,-0.0790758729625313,-0.0992821882338944
"3",3,0.135627189326598,0.191500414126069,0.162353941099533,0.21671506870138,0.159688841309434,0.172112635695968,0.207344225816541,0.133342084888559,0.224294131711187,0.101124353566395,0.183758636161531,0.196182583822785,0.197132591198607,0.170625939630444,0.183615439630552,0.150741830543896,0.142961403954441,0.16261309220133,0.181161199516136,0.146134253698938,0.162280701232103,0.136662736120488,0.32791389095949,0.269422934632279,0.271476993866906,0.263828138995072,0.340306944378681,0.124735776350723,0.114138670296345,0.240344791710794,0.136376891445976,0.0815038953165717,0.0913067586795456,0.120335633377555,0.122030472376214,0.0640602710068725,0.00789776313067999,0.0871562406395072,0.198908355557292,0.0359950037489985,0.0382760949006508,0.126027843242415,0.113960144057184,0.0252598408808619,0.0426911370930627,0.141311891677077,0.0964466762019278,0.0493739565728591,0.0057259265991787,0.120700521722621,0.0168366400877185,0.0532432003394829,0.0420255016560116,0.0861479362655223,0.0208659712910227,0.0121638979209902,0.0194178306246115,0.00502603357883945
"4",4,-0.0657808511906144,0.0642383184201527,-0.0292804697400741,-0.000614647231091461,-0.0573268474398151,-0.0635705045706813,-0.0605173601956186,-0.0679621371666543,-0.0613991838467508,-0.0632270824252709,-0.016604679009453,-0.017874417410942,-0.0968939219854983,-0.116841213878263,-0.09394815361886,-0.0879033106633997,-0.0362405408787138,-0.0470474031682978,-0.0966138343947233,-0.0700812335741981,-0.0854470165432147,-0.063993961346126,0.331160124193256,0.268097050463842,0.229908865932124,0.164296908798764,0.261256221353339,0.00337186590204818,-0.0746886836393158,-0.0600691505427826,-0.05913807989134,-0.0199007397823376,-0.0522974899178124,-0.0917595181859925,-0.0755825280475686,-0.0939018025982992,0.114944132581048,0.0817053738845239,0.0849608558957795,0.110052989138761,-0.0255447235374023,-0.0572898642005676,-0.0778518963336379,-0.0633727838013271,-0.0766825609517279,-0.0940300782275406,-0.112131361923292,-0.0995790220026979,-0.0632867637803985,-0.0503864670689285,-0.0667290457520229,-0.0757233172180507,-0.105798759200281,0.00222832574887124,-0.094842365263458,-0.111949845082664,-0.0995337539833629,-0.110960523000109
"5",5,-0.0523924491083389,0.0199547619637161,0.018643225951231,0.0512277936776647,0.0287433294629529,-0.00758709330072595,0.0374270202401184,-0.0306047151357576,-0.0372062058752859,-0.0674791892185288,-0.059003153664583,0.0222033392106894,-0.00590039468379967,-0.0289884572626142,-0.00479661917988912,-0.0438175858653216,-0.0530132257258823,-0.015323127088946,-0.00141900052874081,-0.00727202296955237,-0.043998848916753,-0.0412203180343855,0.329106779833512,0.248294245182994,0.232369005565993,0.264884420932498,0.346572120489578,0.0315623902967574,-0.00662590461567597,0.0644164902443974,-0.06271397924283,-0.0671992285194362,0.020426398951107,-0.0656357781641445,-0.07505364003145,-0.0412138795486356,0.0845391484292564,0.11600665919555,0.131338066800647,0.0272901198990416,-0.0432627271649576,-0.0302084303091817,-0.0773057191510985,-0.0903350828380352,0.0104244444617947,-0.0447597764799062,-0.02321787242503,-0.0633059653302918,-0.0182747678848768,-0.0457122713072432,-0.00556047914518546,-0.0919048102867364,-0.10567800216628,-0.0818533401488628,-0.0508607697575885,-0.0519843286497767,-0.0699769516594652,-0.0652415781544698
"6",6,0.140398752787433,-0.0163448058473647,0.0816171034196546,0.0870099104136249,0.0208208198123894,0.038064013982728,0.0739685184892704,0.0290373819052037,0.110974976610872,0.101014793690523,0.111734417985143,0.0786806467506589,0.0872543106312584,0.0159540220747063,0.107804992866711,0.148574046638756,0.160114649077808,0.0900197586113352,0.0999079314761597,0.113977218747856,0.0272356230712558,0.157323264338012,-0.00202145605501306,-0.130054085840771,-0.0537301372509292,0.00456912299437148,0.1071422554951,0.0106303244475303,0.00595259051898877,0.0688585123728726,0.106164166095317,0.115372454540188,-0.0811542939826886,0.00199775852827236,0.0774329363496113,0.118832411935691,-0.021656891334033,-0.0431505441283918,-0.0202376234947999,-0.0302970538954601,0.0424024545225049,0.0854470138363023,0.0457111497338424,0.141269964288478,0.00833987104993317,0.0553192711255479,-0.00196964617036417,0.09288032083423,0.009752343379252,0.110661743836075,0.0122362982418608,0.0835456761126542,0.0832964124504978,0.111948550821351,0.0808829125043166,0.0941995011815514,0.108539072252308,0.0959652033346836
"7",7,-0.0555654998202952,0.00669570672587266,0.00843833484779538,-0.0453907416179309,0.143947340158805,0.0499682198802175,0.0286968948768725,0.101310982508084,0.0801249177218226,0.00449847876685006,-0.0597229932036217,0.00877245371012234,-0.0199321725404708,0.113971684777768,0.0564571486748621,0.0345793501529971,-0.0717290274358575,-0.00597465621715578,-0.0426824372664339,0.0553280775246478,0.0715083531959797,-0.0458334348084437,0.0105302860686241,0.0367814034261245,0.0418920562186617,-0.048567109201083,-0.0598451847358376,0.066768203296752,0.0243821822914091,-0.00136314167915184,0.02505079799128,-0.00798881645742415,0.129821935653878,0.114192276882653,0.0471627957702926,0.0273549496226253,0.0961686314387147,0.0993109123381945,-0.00445068390796472,0.0467933682516189,0.039292316326304,-0.0122077382777742,-0.0153222037507577,0.0132301036350857,0.112075600974057,0.0148804050780398,0.0571838605075665,0.0327950873928567,0.0826689792835108,0.012180976368325,0.07794864439743,0.0200675045467249,0.0311308901570955,-0.0420982031343085,-0.0448169247579548,0.0518025065143153,-0.0731997617239709,-0.0359843668624194
"8",8,0.0653338043974927,0.00109995767987286,0.040293443788168,0.0823197019078446,0.0659052644818703,0.0903550658325338,0.114211392027615,0.109606871959945,0.0390607394180881,0.0656411579608002,-0.00124125690261618,0.0158758276584643,0.0777794413239653,0.0995110889850496,0.0678029444802658,0.0908628294824026,0.0296411291363026,0.0223009439571447,0.0639981896758303,0.0939723265391706,0.0687640258127868,0.0965470262798575,-0.00302506559061609,-0.00670668804233599,0.021979951972701,0.0743846781937241,0.0562184273352166,0.0428519297706091,0.0886484941042624,0.0999037240136295,0.00707453823718419,0.0263073463549708,0.0421329132742883,0.0287690407666455,0.0768422905316333,0.0860637578466668,0.0362628513448194,0.0409463757604821,0.0786129560477212,0.0411037576484382,0.0307062554262631,0.0411104301944604,0.0449793467372609,0.0522361745407698,0.0795238224179895,0.0704453338172659,0.0126635589675165,0.0487986267827689,0.0110878712910216,0.0236991591413565,0.0555035376129795,0.0359681035953985,0.0593449237059754,0.0389370296731022,0.0451332708674733,0.0361466210914678,0.0392336164083062,0.0597401233262975
"9",9,-0.0338599642713852,0.0418104435614725,-0.0082982527593214,-0.0280924527050801,0.126382994567436,0.0952640588751697,0.045897613334487,0.113692193460409,0.0739704780644725,0.089879689822186,-0.0459927974931843,-0.0158306798885628,0.00920598315013654,0.101827666431536,0.052115273189088,0.0672751946404849,-0.0417320463295043,-0.0135595870969605,-0.00021946984346165,0.0615737496146919,0.101453173507082,0.0136228743515293,0.0247793861399427,0.0761793812142428,0.0741980066007058,-0.0307078337925971,-0.0656895084718239,0.116605044074549,0.0994778474834855,0.0197202282143888,0.0721736746302071,0.0723863161772069,0.103226829041433,0.0898858181498857,0.0925851062948459,0.0659546696005775,0.10547788501234,0.0446158246638661,-0.00806113357401686,0.100525521851637,0.0433124993531268,0.0284116919278668,0.0656476918132669,0.0547223031701941,0.0537764893855143,0.0449260503548331,0.048544376097688,0.0427364125986951,0.038251536246339,-0.0232925305247145,0.031490761540567,0.00610740255612913,0.029172140628395,0.0417274770273496,-0.000179281928136243,0.0197556442858226,-0.0494672534932459,-0.0405964334539963
"10",10,0.12183370159838,-0.0114301111992273,0.0157799144218075,0.0242612118516012,0.0160977021432425,0.0477971015715577,0.124897872304415,0.0682936516485259,0.0514274124898498,0.126004672236311,0.0835649199196559,0.0501307776381021,0.145957925520524,0.0660630752711503,0.139679761467404,0.139667997134236,0.080678114778144,0.0695861289581118,0.133975002755769,0.137580713968338,-0.00716062522430874,0.0901505310367958,-0.0625741591229986,-0.0649665448399448,-0.0603342352889049,0.0295199997564644,0.0854493989507509,0.00448212258466056,0.0271422875610217,0.0711945604847148,0.0285384674367295,0.105072128652483,-0.0216819766765213,-0.00849448924804908,0.0199721125280705,0.0895978677155725,-0.0127404319624929,0.00227957667691849,0.0469957077402006,0.0150449063383999,-0.00739056569828048,0.0668179837887409,0.053938455452187,0.0596576728870212,-0.0350889558405649,0.0826068222194679,0.0440734005442505,0.0950508002662845,0.00207434380336833,0.072828490435134,0.00884757595945009,0.0500660490438186,0.087525268395903,0.0711166730516353,0.127335363920482,0.0970388932503153,0.0783952573419762,0.083848488800042
