head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
11,13,28,13,Random,-9999,71c3aed32b558833,3.9749999046325684,0.14300012588500977,1638370363.862,28,happy,night,disgust,happy,night,happy,night,disgust,happy,night,2332.0877735614777,2021-12-01T14:52:43.862000,1638368031.7742264
20,6,28,28,Random,-9999,71c3aed32b558833,2.4600000381469727,0.16499996185302734,1638370366.476,6,below,night,beach,night,below,below,night,beach,night,below,2334.7017736434937,2021-12-01T14:52:46.476000,1638368031.7742264
16,2,23,2,Random,-9999,71c3aed32b558833,2.505000114440918,0.14299988746643066,1638370369.129,23,shirt,sky,lemon,shirt,sky,shirt,sky,lemon,shirt,sky,2337.3547735214233,2021-12-01T14:52:49.129000,1638368031.7742264
0,19,2,19,Random,-9999,71c3aed32b558833,3.322999954223633,0.14100003242492676,1638370372.591,2,watermelon,shirt,dress,watermelon,shirt,watermelon,shirt,dress,watermelon,shirt,2340.8167736530304,2021-12-01T14:52:52.591000,1638368031.7742264
12,11,17,11,Random,-9999,71c3aed32b558833,6.07699990272522,0.13899993896484375,1638370378.806,17,disgust,mango,fearful,disgust,mango,disgust,mango,fearful,disgust,mango,2347.0317735671997,2021-12-01T14:52:58.806000,1638368031.7742264
19,27,2,2,Random,-9999,71c3aed32b558833,3.2920000553131104,0.14400005340576172,1638370382.231,27,dusk,shirt,watermelon,shirt,dusk,dusk,shirt,watermelon,shirt,dusk,2350.456773519516,2021-12-01T14:53:02.231000,1638368031.7742264
9,5,7,7,Random,-9999,71c3aed32b558833,3.63700008392334,0.13299989700317383,1638370386.006,5,above,beside,near,beside,above,above,beside,near,beside,above,2354.2317736148834,2021-12-01T14:53:06.006000,1638368031.7742264
17,15,11,15,Random,-9999,71c3aed32b558833,1.6010000705718994,0.1359999179840088,1638370387.684,11,blueberry,disgust,mango,blueberry,disgust,blueberry,disgust,mango,blueberry,disgust,2355.9097735881805,2021-12-01T14:53:07.684000,1638368031.7742264
3,29,24,24,Random,-9999,71c3aed32b558833,3.5490000247955322,0.0839998722076416,1638370391.38,29,noon,sunset,shoes,sunset,noon,noon,sunset,shoes,sunset,noon,2359.6057736873627,2021-12-01T14:53:11.380000,1638368031.7742264
16,8,1,8,Random,-9999,71c3aed32b558833,2.9769999980926514,0.1400001049041748,1638370394.495,1,far,pants,lemon,far,pants,far,pants,lemon,far,pants,2362.720773458481,2021-12-01T14:53:14.495000,1638368031.7742264
15,9,5,9,Random,-9999,71c3aed32b558833,2.1530001163482666,0.1399998664855957,1638370396.781,5,near,above,blueberry,near,above,near,above,blueberry,near,above,2365.0067734718323,2021-12-01T14:53:16.781000,1638368031.7742264
10,19,27,27,Random,-9999,71c3aed32b558833,2.5210001468658447,0.14400005340576172,1638370401.614,19,watermelon,dusk,angry,dusk,watermelon,watermelon,dusk,angry,dusk,watermelon,2369.8397736549377,2021-12-01T14:53:21.614000,1638368031.7742264
29,7,12,7,Random,-9999,71c3aed32b558833,2.6039998531341553,0.1359999179840088,1638370404.349,12,beside,fearful,noon,beside,fearful,beside,fearful,noon,beside,fearful,2372.5747735500336,2021-12-01T14:53:24.349000,1638368031.7742264
28,10,8,8,Random,-9999,71c3aed32b558833,1.6180000305175781,0.13399982452392578,1638370406.044,10,angry,far,night,far,angry,angry,far,night,far,angry,2374.2697734832764,2021-12-01T14:53:26.044000,1638368031.7742264
13,20,24,20,Random,-9999,71c3aed32b558833,2.382000207901001,0.07999992370605469,1638370408.566,24,beach,sunset,happy,beach,sunset,beach,sunset,happy,beach,sunset,2376.791773557663,2021-12-01T14:53:28.566000,1638368031.7742264
16,25,7,25,Random,-9999,71c3aed32b558833,4.58899998664856,0.13399982452392578,1638370413.291,7,dawn,beside,lemon,dawn,beside,dawn,beside,lemon,dawn,beside,2381.5167734622955,2021-12-01T14:53:33.291000,1638368031.7742264
3,13,2,2,Random,-9999,71c3aed32b558833,2.9809999465942383,0.14400005340576172,1638370422.915,13,happy,shirt,shoes,shirt,happy,happy,shirt,shoes,shirt,happy,2391.140773534775,2021-12-01T14:53:42.915000,1638368031.7742264
17,23,0,0,Random,-9999,71c3aed32b558833,1.753999948501587,0.1419999599456787,1638370424.75,23,sky,dress,mango,dress,sky,sky,dress,mango,dress,sky,2392.9757735729218,2021-12-01T14:53:44.750000,1638368031.7742264
24,13,18,13,Random,-9999,71c3aed32b558833,3.4519999027252197,0.11700010299682617,1638370428.383,18,happy,strawberry,sunset,happy,strawberry,happy,strawberry,sunset,happy,strawberry,2396.608773469925,2021-12-01T14:53:48.383000,1638368031.7742264
7,27,22,22,Random,-9999,71c3aed32b558833,2.2089998722076416,0.14100003242492676,1638370432.885,27,dusk,ocean,beside,ocean,dusk,dusk,ocean,beside,ocean,dusk,2401.110773563385,2021-12-01T14:53:52.885000,1638368031.7742264
10,20,7,7,Random,-9999,71c3aed32b558833,4.161999940872192,0.1550002098083496,1638370437.363,20,beach,beside,angry,beside,beach,beach,beside,angry,beside,beach,2405.5887734889984,2021-12-01T14:53:57.363000,1638368031.7742264
0,3,4,3,Random,-9999,71c3aed32b558833,2.821000099182129,0.2869999408721924,1638370440.449,4,shoes,socks,dress,shoes,socks,shoes,socks,dress,shoes,socks,2408.674773454666,2021-12-01T14:54:00.449000,1638368031.7742264
9,6,16,6,Random,-9999,71c3aed32b558833,2.7190001010894775,0.2929999828338623,1638370443.322,16,below,lemon,near,below,lemon,below,lemon,near,below,lemon,2411.5477735996246,2021-12-01T14:54:03.322000,1638368031.7742264
11,19,24,19,Random,-9999,71c3aed32b558833,3.5119998455047607,0.13700008392333984,1638370446.974,24,watermelon,sunset,disgust,watermelon,sunset,watermelon,sunset,disgust,watermelon,sunset,2415.1997735500336,2021-12-01T14:54:06.974000,1638368031.7742264
11,8,9,8,Random,-9999,71c3aed32b558833,2.4099998474121094,0.13300013542175293,1638370449.52,9,far,near,disgust,far,near,far,near,disgust,far,near,2417.7457735538483,2021-12-01T14:54:09.520000,1638368031.7742264
4,19,27,27,Random,-9999,71c3aed32b558833,12.046000003814697,0.13100004196166992,1638370461.697,19,watermelon,dusk,socks,dusk,watermelon,watermelon,dusk,socks,dusk,watermelon,2429.9227735996246,2021-12-01T14:54:21.697000,1638368031.7742264
8,11,5,5,Random,-9999,71c3aed32b558833,12.361000061035156,0.1399998664855957,1638370474.203,11,disgust,above,far,above,disgust,disgust,above,far,above,disgust,2442.4287736415863,2021-12-01T14:54:34.203000,1638368031.7742264
8,4,16,4,Random,-9999,71c3aed32b558833,2.198000192642212,0.15999984741210938,1638370476.55,16,socks,lemon,far,socks,lemon,socks,lemon,far,socks,lemon,2444.775773525238,2021-12-01T14:54:36.550000,1638368031.7742264
11,23,14,14,Random,-9999,71c3aed32b558833,3.0340001583099365,0.13199996948242188,1638370479.726,23,sky,sad,disgust,sad,sky,sky,sad,disgust,sad,sky,2447.9517736434937,2021-12-01T14:54:39.726000,1638368031.7742264
7,23,12,23,Random,-9999,71c3aed32b558833,2.42900013923645,0.14699983596801758,1638370482.29,12,sky,fearful,beside,sky,fearful,sky,fearful,beside,sky,fearful,2450.515773534775,2021-12-01T14:54:42.290000,1638368031.7742264
28,18,12,12,Random,-9999,ab2f04f7bdaf5bd4,3.2730000019073486,0.22600007057189941,1638370482.377,18,strawberry,fearful,night,fearful,strawberry,strawberry,fearful,night,fearful,strawberry,2450.602773666382,2021-12-01T14:54:42.377000,1638368031.7742264
6,4,20,4,Random,-9999,71c3aed32b558833,1.6630001068115234,0.13699984550476074,1638370484.034,20,socks,beach,below,socks,beach,socks,beach,below,socks,beach,2452.259773492813,2021-12-01T14:54:44.034000,1638368031.7742264
22,15,24,24,Random,-9999,71c3aed32b558833,1.8510000705718994,0.07899999618530273,1638370485.967,15,blueberry,sunset,ocean,sunset,blueberry,blueberry,sunset,ocean,sunset,blueberry,2454.192773580551,2021-12-01T14:54:45.967000,1638368031.7742264
