"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
-0.149061035893111,-0.0655300911111259,0.287378149951176,-0.00652928812618482,-0.039015590489589,-0.0137130771399079,-0.109379108469668,0.0103521850741862,-0.197758196812347,0.055287021419307,-0.0084419186903862,-0.0689995698379041,0.0570229559665902,-0.0713525673504403,-0.0701929084721124,-0.121689831633069,0.248165301114242,-0.231387107621955,0.163972406619088,-0.155322525206671,0.275266823006304,-0.083877246122544,-0.0382126586750842,-0.01589387063379,0.0403721852081957,-0.0668234285798249,-0.0875353312429409,-0.159918414398912,0.078552359855152
-0.151015042850659,-0.218372256521709,-0.0203947439956703,-0.0664280335866084,-0.0122318591648787,0.118240561316283,-0.0938084347541656,-0.087083809190323,0.0521416028092762,-0.150176274528478,0.105324647981311,-0.110218340469184,0.204418736261528,-0.0905626807688271,0.334643279697932,0.0676651560296465,0.113355907093331,0.284578994064807,0.073108638460515,-0.0531391154761356,-0.205745651880422,0.138193456271316,0.0377991324769134,-0.0631965522100136,0.0219381043756934,-0.0553454204992224,0.0883070392656796,0.0413945438075297,-0.0595294790577812
-0.140935217473283,-0.196384675972225,0.122133947763206,-0.0668386650795585,-0.0464753394694545,0.0908117768991284,-0.150598881618973,-0.0977093470528425,-0.00749961076888143,-0.0624179539884105,0.114226241895422,0.147516610065848,0.0522162841203163,-0.118859589885726,-0.00406954891089999,-0.0627413420447267,-0.157723485223267,-0.0336852793222706,0.109395623885427,0.0990242078494639,0.0444425965558585,-0.122856930734063,0.175956802214565,0.157209549332371,0.176244840841229,0.0562989449193675,-0.0109880384635997,0.0126045772956957,0.0904899686456248
-0.165726708276828,-0.107567661334218,0.235410727182604,0.0770191470712245,0.0344736739894026,-0.0222063759057987,-0.12681001006995,-0.0823928872765742,0.0309206424364981,0.31345189688638,-0.0243854294818374,0.0964727220887991,0.106877687714599,-0.0421569278369049,-0.210776721183975,-0.0474713886569702,0.2037804196711,-0.126365698897098,-0.0390167201157537,0.139305473385829,-0.090072468674466,0.0852214475387321,-0.132075243779865,-0.0708743551947511,0.0579751133494358,0.109282018454399,0.145481633993866,0.043684383158791,-0.155468188186851
-0.16527244225718,-0.016301128970818,-0.166679522257167,-0.175255292488148,-0.0940033459792161,0.167128108814226,0.101333746108016,0.05886073525954,0.219642436113151,0.0813171441535985,0.192326062352452,0.166429466988871,0.166171558732838,0.191194417373118,-0.0296038611498825,0.370848932493207,-0.125097243264858,-0.0632468097401586,0.135674882691746,0.152146246326776,0.0734102538760764,0.146516087600417,-0.151180421365773,-0.0150177522014758,0.074649250217493,-0.13504195291401,-0.0434011234078088,-0.203992836902566,-0.132849148697194
-0.165988042330869,0.0368360271883593,-0.0728772469394595,-0.103315642142033,-0.0235855926247168,0.0949643600128955,0.0878485312001658,-0.00148965551517995,0.0751580309955912,0.114263791691281,-0.174304778054368,-0.0128783962933353,-0.0831068149776956,-0.136657713081113,-0.0544359212311467,0.0217079467375353,0.0458638693989276,0.097116587618541,-0.0868497803473625,-0.0797585608258058,-0.331024342441485,0.0836491529509037,0.104841707127317,0.166324656792996,0.0348800415694645,0.084905369148028,0.06800556665454,-0.190899595425476,-0.128064775050542
-0.183887790890809,0.0710090433205602,0.0242462163075206,0.0164521167626175,0.0110662579393467,-0.0165283430218318,0.00722551767954542,0.18024129650319,0.140779230052074,0.0142626663181823,-0.156623616492994,-0.063659392333604,-0.0121921166815638,-0.0943743045285325,-0.0144042832258896,-0.156262096469605,-0.0481286881191288,0.090967651302589,0.0135884544822895,0.0212638986530224,0.163030778363221,-0.129317594145027,-0.129057182742189,-0.0594215788458098,-0.0660161546646755,-0.0951813142254699,0.0280409849640443,0.0318645433652745,-0.13714595497025
-0.151773226266979,0.0690021724998297,-0.125824761087459,-0.174272287954314,-0.00890514952809683,0.0773009557686028,0.0527385108054167,0.120794113429858,0.044087993695045,-0.0766729324458248,-0.0565844479624261,0.0228227680950553,0.193030502144577,0.0949276285472547,-0.295561716390166,-0.029041013968338,0.250471684153033,-0.0663080649421713,0.0572777108470748,-0.0311103471640575,-0.0240949895307698,-0.108088550123867,-0.106579881560322,0.167278269680121,-0.217310612065806,0.0297417667804026,-0.128967463091568,0.101144707775812,0.027468406056691
-0.179164485486181,0.126817125989843,-0.0370879212036361,-0.0852828357328832,-0.0147306783120183,-0.0841832480555494,0.0300053127914349,-0.0823275255481365,0.113779216013848,-0.11923101508306,0.122500324694047,0.139693701114077,0.00333526981668348,-0.17317853939649,0.04311253223248,0.0881956935200758,0.285555906570382,0.0270090042063996,-0.288245145527018,-0.028969598240177,0.0407459988797364,0.0837909951713539,0.0403512455423921,-0.232557930192629,0.0407565884780277,0.120520296180786,-0.208686481616138,-0.0404181481551934,-0.116408810559341
-0.129751398889158,0.135277014957715,-0.0402897685639824,-0.137175440056723,0.0455338018588411,-0.127292885086689,-0.0252878051946531,0.0790772925335484,-0.109145231026052,0.00332384782872285,-0.0257779277424603,-0.115380440583938,0.0347847532601316,-0.117211017862307,-0.00792193943945012,0.0312287720087213,-0.0685580201611286,0.0669855309980709,0.0135431626482262,-0.150188182455793,0.0873501937640823,-0.0832693703745464,-0.1887875783308,-0.362031398487226,0.0278066394666848,-0.0847587155663397,0.220298308489454,0.11760801138458,0.0891775479561707
-0.173825526487016,-0.143529769384719,0.243295574510251,-0.0555477198265087,-0.0231997401026687,0.0302339855344922,-0.159584222350912,-0.0216422092098989,-0.170346151066636,-0.0759481114299548,0.258580915287297,-0.0408364467086309,0.045352409340676,0.264629943224385,0.028151748950877,0.068150181454214,0.116561221878392,-0.0417836229481824,-0.276549339302463,-0.0591122780950802,-0.183457268900298,-0.0448266270537615,-0.101473951071867,-0.0141643712372888,0.0343068770043494,0.0727318387236824,-0.116520754300383,0.199822514980167,0.138103190776082
-0.172591415375114,-0.191028247513753,0.0459282355240205,-0.116057980951765,-0.0620317141472684,0.100237475479663,-0.0306952893999703,-0.0621954373587971,-0.0167681246560828,-0.290392699155342,0.0371893565480087,-0.0310758909006561,-0.169254180210741,0.0480480584055533,-0.0137715353684176,-0.157343551434567,-0.110074055752609,-0.0509089570881035,-0.0306709333419848,0.0364975238380801,0.111810476178444,-0.00683212196669765,0.103232589957429,-0.228925756027663,0.0991092755076369,-0.0301034659023763,0.19273565086046,-0.166369884297313,0.160468092042929
-0.186283868807585,-0.063538499833115,0.0842752553579343,-0.126398951453506,-0.038378244589741,0.0674063012318083,0.0982478494904883,0.0133121259368937,-0.00886975393768282,0.165107027365504,0.137614277443878,-0.158980819841726,0.00658394151078096,-0.0215334593072425,0.0504593612933047,-0.251699100300262,-0.0691142306847097,0.198809475175009,-0.00302178563206197,-0.0298156530041326,0.225868299012579,-0.126100068496556,-0.178434059391009,0.144456181363907,-0.0206485644899864,0.0532600128164235,0.0830788361296207,-0.136399500045799,-0.0585791252948694
-0.165267674814971,0.0191229924372674,-0.105448712922076,-0.207889853702131,-0.11991718334658,0.145960100429909,0.114555188516478,0.0833706525529772,0.148212974320803,-0.104388896912283,-0.0414316938973477,0.0409217483408317,0.0717758124922424,0.0680266318110761,-0.162473785510336,-0.133550021562738,0.153293506330947,-0.0535179702353001,-0.0167958692081045,-0.110331428780382,-0.0823689758353236,-0.0261555850675074,0.0590253756236959,0.0457025526548891,0.0467451706929583,-0.0926363494360431,0.0415026363507143,0.22909820980838,0.0122486564692001
-0.196667008765309,0.0638543675481304,-0.0196808886146989,-0.1551877992569,-0.0542478749323399,0.0494095419095464,0.176359420188059,0.194138657026919,0.0827948365546177,-0.093312028699789,0.0189789021256609,0.0767302981319406,-0.0727131836213656,0.12118354993382,0.11630716713485,0.0746017377479571,-0.089616167110185,-0.0460497393904456,-0.125380795630754,0.0130371674802819,-0.0217820225465464,-0.0461620732648688,0.0601209264796637,0.0392816699462612,-0.120307181665099,0.0560404755284266,0.0958108550242849,-0.0394490957474298,0.212361846240554
-0.161929308956021,0.119943559730512,-0.0162135930676149,-0.126853067230906,-0.0025163296333622,-0.0200118517957954,0.105803309426561,0.0758713211359741,-0.115421605591684,-0.124581059604395,-0.134021228039449,0.14534594620881,0.0379163999972491,0.0407629858474144,0.116008998296586,-0.150925181034973,-0.0830619368314313,-0.0158331786345091,0.0464106182670674,-0.110623536120709,0.170839960887627,0.229866532881602,0.0938518850337801,0.235557658868899,-0.128480006489494,0.274676098511365,0.0293581464864365,0.101093859352531,0.0087010470591082
-0.173941780629195,-0.116908125738655,0.255603963272325,-0.0399209461846006,0.00528862905170174,0.0512675579510817,-0.0802804464031434,-0.0249666395641899,-0.136640339044182,-0.0316137774660143,0.00563178784073085,-0.153849331344467,-0.0427667805195839,0.0450165456435275,-0.0361291520981698,0.253309807911652,0.0342911053128041,-0.129897196185947,0.0205520262982822,0.236876959270753,-0.0744197599692331,-0.0338940312266276,0.0798772357903817,0.0194705250504594,-0.125069390719171,-0.0892104867749301,0.362666592280715,-0.0104462639275908,-0.130621837325388
-0.166181810468084,-0.147084023217666,0.10576387885754,-0.116215629452945,-0.042109083759514,0.0989282412687796,0.0340808866051297,-0.0556269584202212,0.0144835550133445,-0.0243413501591757,-0.104604550776879,-0.0662322297465235,-0.233576751296217,0.115228516111399,0.160133931834759,0.0179936123907671,-0.00973924603469043,0.0127371233537807,0.0336371038216264,-0.0039706222067737,0.193423367645652,-0.0117201916697303,0.209411589770047,0.00868393884355746,-0.0512655780831799,-0.11583099570194,-0.307285737711885,0.127347313232442,-0.207035403390299
-0.171336977562998,-0.0371216667329654,0.0592109952183644,-0.144690188222534,-0.0439757122546083,0.0620936144128532,0.173303698148726,-0.00647803203852789,-0.0298674615675644,0.17429400020657,-0.0258155918371356,-0.139376889080045,-0.210075589056473,-0.0785020057607397,0.139824452990419,-0.270310889429175,-0.120029959557737,0.0646389592531162,-0.0479237564903638,0.180281335346843,-0.20190067500615,0.174165408867103,-0.167443284116082,-0.165580295993524,-0.0957556353436563,0.150059706996538,-0.209840892399495,-0.0549919806110369,-0.0656282897801046
-0.181846378071808,0.083117674748467,-0.000913922922445052,-0.12395424445748,-0.0274904385854366,0.0239821594411654,0.195376320688847,0.126232122538461,-0.00491141664769801,-0.00419758311428232,-0.171667313948291,0.135386506262324,-0.143664164970348,-0.0943657534743424,-0.0249483635810366,0.0492694986033177,0.134571709078601,-0.146483453686365,0.121810210872695,0.0322630324721814,-0.138777696371897,-0.162662686415613,-0.164709190509367,0.0468300530975582,0.242114947163161,-0.0911735087851521,0.191795746687991,0.048787923873604,-0.0684758081522948
-0.107784925318922,-0.0348006285937307,0.0203108658660015,-0.0204848318122987,-0.180358173827404,0.106233374468365,-0.214877179163211,-0.155011542069549,0.074787089550108,0.053740118518523,-0.0833012403409316,0.0717579292542959,0.204669609276737,0.042494375608366,-0.1847612814102,0.105498529952925,-0.243569023263207,0.0291564146275643,-0.128637261067597,-0.11139348741325,0.0612846216611286,0.00962848016100926,-0.108696397412818,0.131138139320825,0.022740718024864,0.102127598744306,-0.121265206980927,0.17175201214279,0.269522669525496
-0.139594009403819,-0.02998464124154,0.222814285673488,-0.0165193216063936,-0.0602133170863189,-0.0134595347816793,-0.00184872857241376,-0.124668891210596,-0.160284598181943,0.0239979280341763,-0.150452348697331,0.25719089700269,0.112784864688953,-0.0627912538225132,-0.0711437533138916,-0.0591499497515918,-0.302347539384648,0.178618018954303,0.113211302662793,-0.178367261956473,-0.144986635444528,0.0900299883847809,0.0873153220668521,-0.0824714481292356,0.101982694065084,-0.0524122563190383,-0.166025924962636,-0.165006954862021,-0.0302306420697267
-0.201796393721131,-0.228571446375738,-0.320938010937771,0.181673551073474,0.0708035604000869,-0.130560143656569,0.249952182812336,-0.417755481690257,-0.143762208206219,-0.066921821597817,-0.0965976368499118,0.0861507881086531,-0.110481759636387,0.112033799934142,-0.0463578701016473,-0.110762338570142,-0.0619677296858776,0.00286349463516829,0.0435150210053066,0.270943098778889,0.138307913435139,-0.0419958153898371,-0.000674284390842987,0.0591174399714039,-0.0474730604367593,0.0298726221272718,0.112604816873282,0.124562927667088,0.0514883751096127
