"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"dress",0.635625,0.729322916666667,0.689166666666667,0.681197916666667,0.703177083333333,0.67828125,0.6790625,0.6971875,0.7284375,0.64078125,0.700520833333333,0.75390625,0.691979166666667,0.698072916666667,0.698072916666667,0.650989583333333,0.722708333333333,0.70984375,0.676510416666667,0.689010416666667,0.641770833333333,0.6353125,0.839635416666667,0.749270833333333,0.692760416666667,0.691510416666667,0.83515625,0.620729166666667,0.62890625,0.704791666666667,0.696927083333333,0.663385416666667,0.646197916666667,0.614427083333333,0.624166666666667,0.63015625,0.47953125,0.561822916666667,0.630677083333333,0.57828125,0.60484375,0.684791666666667,0.65109375,0.643958333333333,0.5728125,0.582552083333333,0.598489583333333,0.5878125,0.505677083333333,0.6471875,0.527083333333333,0.567291666666667,0.581979166666667,0.626927083333333,0.516614583333333,0.52625,0.652864583333333,0.577447916666667
"pants",0.533385416666667,0.770416666666667,0.652552083333333,0.583333333333333,0.476458333333333,0.476666666666667,0.525625,0.446979166666667,0.44609375,0.403802083333333,0.602291666666667,0.68375,0.560520833333333,0.452916666666667,0.443697916666667,0.39390625,0.59125,0.62515625,0.501458333333333,0.387395833333333,0.523177083333333,0.475572916666667,0.87296875,0.825885416666667,0.76734375,0.766822916666667,0.804427083333333,0.564270833333333,0.5296875,0.502708333333333,0.4284375,0.398854166666667,0.535052083333333,0.520989583333333,0.4978125,0.403385416666667,0.614583333333333,0.675052083333333,0.701197916666667,0.664166666666667,0.5234375,0.448541666666667,0.4353125,0.3675,0.497239583333333,0.485104166666667,0.437447916666667,0.427395833333333,0.485052083333333,0.548854166666667,0.462135416666667,0.475052083333333,0.4215625,0.394114583333333,0.411822916666667,0.390572916666667,0.451979166666667,0.43640625
"shirt",0.67453125,0.759739583333333,0.730885416666667,0.767604166666667,0.665625,0.664322916666667,0.696614583333333,0.621666666666667,0.704895833333333,0.561927083333333,0.733020833333333,0.769427083333333,0.722083333333333,0.658333333333333,0.654322916666667,0.605572916666667,0.683645833333333,0.719270833333333,0.697291666666667,0.625052083333333,0.684375,0.657760416666667,0.865729166666667,0.808385416666667,0.79734375,0.808177083333333,0.885885416666667,0.630052083333333,0.60296875,0.737916666666667,0.637135416666667,0.543125,0.619947916666667,0.631927083333333,0.617395833333333,0.5471875,0.5053125,0.583541666666667,0.72671875,0.545208333333333,0.55109375,0.618177083333333,0.603645833333333,0.506666666666667,0.543177083333333,0.629010416666667,0.60828125,0.548802083333333,0.5021875,0.650208333333333,0.53359375,0.576458333333333,0.551979166666667,0.604322916666667,0.5165625,0.48859375,0.550677083333333,0.52890625
"shoes",0.471145833333333,0.629114583333333,0.547395833333333,0.544479166666667,0.442864583333333,0.432552083333333,0.425208333333333,0.430729166666667,0.40625,0.383177083333333,0.53609375,0.5446875,0.4325,0.376354166666667,0.381875,0.37953125,0.505,0.50984375,0.408177083333333,0.409583333333333,0.4478125,0.450677083333333,0.874010416666667,0.805416666666667,0.744375,0.718697916666667,0.815104166666667,0.503385416666667,0.41953125,0.433802083333333,0.446979166666667,0.444739583333333,0.475885416666667,0.430052083333333,0.4165625,0.386145833333333,0.612552083333333,0.57328125,0.60125,0.618333333333333,0.493125,0.443072916666667,0.412447916666667,0.405885416666667,0.419270833333333,0.39921875,0.390625,0.401875,0.433072916666667,0.477291666666667,0.44625,0.45171875,0.406041666666667,0.52234375,0.402291666666667,0.364947916666667,0.432135416666667,0.40640625
"socks",0.479947916666667,0.590364583333333,0.576979166666667,0.609635416666667,0.528177083333333,0.482604166666667,0.531302083333333,0.45859375,0.454791666666667,0.401614583333333,0.488333333333333,0.596197916666667,0.516041666666667,0.455260416666667,0.465989583333333,0.416197916666667,0.49484375,0.545208333333333,0.526302083333333,0.461458333333333,0.46890625,0.476197916666667,0.868020833333333,0.790729166666667,0.764427083333333,0.7928125,0.88984375,0.535625,0.4778125,0.562708333333333,0.423125,0.400104166666667,0.540833333333333,0.439427083333333,0.439114583333333,0.446145833333333,0.58578125,0.623125,0.670833333333333,0.526875,0.46609375,0.45421875,0.432239583333333,0.402552083333333,0.5171875,0.43109375,0.495572916666667,0.4265625,0.4778125,0.48203125,0.50890625,0.425208333333333,0.40875,0.41359375,0.440677083333333,0.42859375,0.467708333333333,0.456041666666667
"above",0.676162790697674,0.550755813953488,0.651104651162791,0.637790697674419,0.518720930232558,0.53296511627907,0.561511627906977,0.520290697674419,0.589302325581395,0.560872093023256,0.660755813953488,0.653662790697674,0.614127906976744,0.503081395348837,0.585872093023256,0.612732558139535,0.70703488372093,0.642151162790698,0.611976744186047,0.588023255813954,0.550523255813953,0.673313953488372,0.539302325581395,0.408313953488372,0.473837209302326,0.545988372093023,0.654127906976744,0.513953488372093,0.497093023255814,0.560872093023256,0.603662790697674,0.585058139534884,0.44453488372093,0.52,0.581104651162791,0.599476744186046,0.47593023255814,0.457267441860465,0.510523255813954,0.470988372093023,0.554186046511628,0.575290697674419,0.545639534883721,0.623546511627907,0.508895348837209,0.542325581395349,0.504709302325581,0.585348837209302,0.501686046511628,0.635232558139535,0.53046511627907,0.603720930232558,0.596918604651163,0.61703488372093,0.57796511627907,0.575872093023256,0.640406976744186,0.622209302325581
"below",0.479186046511628,0.569883720930233,0.575174418604651,0.491104651162791,0.629825581395349,0.530348837209302,0.516686046511628,0.609244186046512,0.561279069767442,0.461104651162791,0.502209302325581,0.57203488372093,0.496046511627907,0.608662790697674,0.539244186046512,0.501918604651163,0.463953488372093,0.565174418604651,0.470697674418605,0.51203488372093,0.608779069767442,0.468662790697674,0.553720930232558,0.580232558139535,0.570872093023256,0.491744186046512,0.486860465116279,0.56906976744186,0.520174418604651,0.508081395348837,0.513488372093023,0.464186046511628,0.633895348837209,0.626395348837209,0.549302325581395,0.522267441860465,0.589302325581395,0.602616279069767,0.517616279069767,0.555581395348837,0.546046511627907,0.493255813953488,0.493779069767442,0.485116279069767,0.6225,0.500174418604651,0.554418604651163,0.539941860465116,0.577383720930233,0.54656976744186,0.591337209302326,0.53,0.544941860465116,0.452732558139535,0.43796511627907,0.538779069767442,0.461337209302326,0.488313953488372
"beside",0.601511627906977,0.567383720930233,0.609476744186046,0.62593023255814,0.565988372093023,0.587674418604651,0.603895348837209,0.611976744186047,0.499883720930233,0.515232558139535,0.544127906976744,0.581337209302326,0.61,0.590697674418605,0.549941860465116,0.558837209302326,0.584941860465116,0.575697674418605,0.566104651162791,0.568720930232558,0.594709302325581,0.606627906976744,0.542151162790698,0.532558139534884,0.541918604651163,0.616046511627907,0.614476744186046,0.541686046511628,0.586220930232558,0.585406976744186,0.509709302325581,0.489767441860465,0.560232558139535,0.557093023255814,0.573023255813954,0.576162790697674,0.526686046511628,0.53953488372093,0.595697674418605,0.542267441860465,0.551802325581395,0.549593023255814,0.54046511627907,0.516395348837209,0.579825581395349,0.578546511627907,0.511220930232558,0.54296511627907,0.503546511627907,0.548488372093023,0.568779069767442,0.55296511627907,0.579127906976744,0.554011627906977,0.528662790697674,0.519418604651163,0.576395348837209,0.573372093023256
"far",0.495755813953488,0.609186046511628,0.566162790697674,0.526279069767442,0.60796511627907,0.585232558139535,0.529011627906977,0.6,0.559186046511628,0.56156976744186,0.512151162790698,0.568139534883721,0.529767441860465,0.593197674418605,0.536220930232558,0.538255813953488,0.504651162790698,0.533139534883721,0.50703488372093,0.533895348837209,0.631220930232558,0.525174418604651,0.570406976744186,0.611918604651163,0.605813953488372,0.510523255813954,0.475,0.622325581395349,0.584244186046512,0.52093023255814,0.56406976744186,0.555697674418605,0.630697674418605,0.603546511627907,0.607325581395349,0.53656976744186,0.607616279069767,0.547616279069767,0.529418604651163,0.59843023255814,0.549186046511628,0.502790697674419,0.58156976744186,0.545988372093023,0.55796511627907,0.517616279069767,0.552209302325581,0.531860465116279,0.531395348837209,0.490232558139535,0.551395348837209,0.529825581395349,0.539418604651163,0.522732558139535,0.513546511627907,0.502325581395349,0.473720930232558,0.50406976744186
"near",0.653255813953488,0.553662790697674,0.584186046511628,0.57156976744186,0.506744186046512,0.538488372093023,0.613604651162791,0.571744186046512,0.530697674418605,0.578139534883721,0.638953488372093,0.61093023255814,0.669651162790698,0.557906976744186,0.617325581395349,0.612906976744186,0.623313953488372,0.634476744186046,0.64906976744186,0.603372093023256,0.523139534883721,0.601976744186047,0.481395348837209,0.476337209302326,0.460406976744186,0.571104651162791,0.636162790697674,0.50343023255814,0.519302325581395,0.570406976744186,0.519651162790698,0.576686046511628,0.494593023255814,0.506453488372093,0.527906976744186,0.575348837209302,0.487558139534884,0.503546511627907,0.571860465116279,0.517151162790698,0.505639534883721,0.563313953488372,0.563604651162791,0.537151162790698,0.468197674418605,0.563197674418605,0.549709302325581,0.5925,0.497906976744186,0.601976744186047,0.519709302325581,0.569767441860465,0.6025,0.568372093023256,0.618895348837209,0.579302325581395,0.615348837209302,0.600174418604651
