"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"apple",0.0826851851851852,0.0649537037037037,0.0846296296296296,0.0851388888888889,0.062037037037037,0.0972222222222222,0.0709722222222222,0.0921296296296296,0.076712962962963,0.10625,0.0897222222222222,0.0775,0.072962962962963,0.0965277777777778,0.0660185185185185,0.109398148148148,0.134027777777778,0.108703703703704,0.159398148148148,0.17,0.0831018518518519,0.11,0.0961111111111111,0.0997685185185185,0.0583796296296296,0.0554166666666667,0.0848148148148148,0.0872685185185185,0.107916666666667,0.119490740740741,0.377731481481482,0.304583333333333,0.259166666666667,0.330185185185185,0.287777777777778,0.267175925925926,0.266203703703704,0.473796296296296,0.510231481481481,0.335277777777778,0.278981481481481,0.229722222222222,0.194768518518519,0.292083333333333,0.250092592592593,0.36712962962963,0.334814814814815,0.251203703703704,0.635648148148148,0.699027777777778,0.6475,0.599074074074074,0.498842592592593,0.558935185185185,0.525648148148148,0.42087962962963,0.302453703703704,0.359953703703704,0.325787037037037,0.255601851851852,0.259259259259259,0.381574074074074,0.838333333333333,0.566111111111111,0.638518518518518,0.588055555555556,0.440046296296296,0.428194444444444,0.350185185185185,0.330046296296296,0.286203703703704
"banana",0.0723611111111111,0.0692592592592593,0.0768055555555556,0.073287037037037,0.065462962962963,0.0756944444444444,0.0748611111111111,0.0713888888888889,0.0819444444444444,0.0858333333333333,0.0878240740740741,0.0775925925925926,0.0816203703703704,0.0781481481481481,0.0709259259259259,0.0686574074074074,0.0816666666666667,0.0773148148148148,0.0846296296296296,0.0875925925925926,0.0836574074074074,0.0878240740740741,0.0818981481481482,0.0852777777777778,0.120277777777778,0.104861111111111,0.0931944444444444,0.103101851851852,0.119722222222222,0.109490740740741,0.100972222222222,0.098287037037037,0.101481481481481,0.101064814814815,0.0824074074074074,0.199259259259259,0.146805555555556,0.25375,0.329768518518519,0.232546296296296,0.235694444444444,0.248055555555556,0.268287037037037,0.428009259259259,0.484583333333333,0.215046296296296,0.172453703703704,0.138842592592593,0.0929166666666667,0.100740740740741,0.308333333333333,0.334305555555556,0.289305555555556,0.315138888888889,0.404537037037037,0.474583333333333,0.460972222222222,0.725555555555556,0.692083333333333,0.196666666666667,0.253611111111111,0.12212962962963,0.0871759259259259,0.296990740740741,0.326990740740741,0.347592592592593,0.492175925925926,0.573148148148148,0.794259259259259,0.876898148148148,0.395833333333333
"carrot",0.0502358490566038,0.0641509433962264,0.0443396226415094,0.0323584905660377,0.0646698113207547,0.0553301886792453,0.0626415094339623,0.0786792452830189,0.0626415094339623,0.0616981132075472,0.0642924528301887,0.0541981132075472,0.0659905660377359,0.044622641509434,0.0790094339622641,0.064622641509434,0.0638207547169811,0.0887735849056604,0.062688679245283,0.0641037735849057,0.050188679245283,0.104811320754717,0.087122641509434,0.0590094339622642,0.0782075471698113,0.0525943396226415,0.0621698113207547,0.0637264150943396,0.0924056603773585,0.0829716981132076,0.125566037735849,0.149669811320755,0.119952830188679,0.140707547169811,0.0828301886792453,0.208915094339623,0.182641509433962,0.51872641509434,0.495660377358491,0.282122641509434,0.200047169811321,0.259811320754717,0.240943396226415,0.227830188679245,0.265990566037736,0.435754716981132,0.580471698113208,0.407169811320755,0.38122641509434,0.12938679245283,0.563207547169811,0.480896226415094,0.400754716981132,0.46627358490566,0.374528301886792,0.314622641509434,0.269150943396226,0.326367924528302,0.32372641509434,0.921556603773585,0.758584905660377,0.906415094339623,0.275141509433962,0.459669811320755,0.48561320754717,0.390047169811321,0.289009433962264,0.267830188679245,0.364905660377358,0.355330188679245,0.836037735849057
"celery",0.0752358490566038,0.0560377358490566,0.0570754716981132,0.0431132075471698,0.069622641509434,0.0565094339622641,0.0675,0.0441981132075472,0.0500943396226415,0.0555660377358491,0.0647169811320755,0.0539150943396226,0.0713679245283019,0.0872641509433962,0.0620754716981132,0.0396698113207547,0.0541509433962264,0.0374528301886792,0.0490094339622641,0.0533490566037736,0.107735849056604,0.183254716981132,0.151650943396226,0.141132075471698,0.0552358490566038,0.0547641509433962,0.0533490566037736,0.149056603773585,0.227169811320755,0.201792452830189,0.0467452830188679,0.0729245283018868,0.0630660377358491,0.0638679245283019,0.0535377358490566,0.475943396226415,0.4025,0.673066037735849,0.722924528301887,0.61061320754717,0.536415094339623,0.275141509433962,0.245801886792453,0.204009433962264,0.172924528301887,0.125707547169811,0.0736320754716981,0.072877358490566,0.0553301886792453,0.0464150943396226,0.830330188679245,0.771981132075472,0.737264150943396,0.762169811320755,0.698490566037736,0.584481132075472,0.209669811320755,0.18061320754717,0.140518867924528,0.0794339622641509,0.0909905660377359,0.0756603773584906,0.0432075471698113,0.75377358490566,0.823962264150943,0.750235849056604,0.593301886792453,0.420943396226415,0.135377358490566,0.133584905660377,0.0786320754716981
"cherry",0.091712962962963,0.0838425925925926,0.0948148148148148,0.158518518518519,0.0911574074074074,0.085462962962963,0.099212962962963,0.205277777777778,0.135462962962963,0.272731481481481,0.0858333333333333,0.0791203703703704,0.0796759259259259,0.0900462962962963,0.220509259259259,0.14712962962963,0.187453703703704,0.361990740740741,0.334722222222222,0.342314814814815,0.0808333333333333,0.122546296296296,0.10212962962963,0.097962962962963,0.183657407407407,0.134814814814815,0.0880555555555556,0.115416666666667,0.12787037037037,0.126388888888889,0.611805555555556,0.380972222222222,0.340046296296296,0.496574074074074,0.497222222222222,0.17462962962963,0.134490740740741,0.299212962962963,0.279768518518519,0.188935185185185,0.1725,0.160277777777778,0.138888888888889,0.141574074074074,0.156064814814815,0.340694444444444,0.263148148148148,0.27537037037037,0.593842592592593,0.751805555555556,0.285601851851852,0.242037037037037,0.225138888888889,0.286064814814815,0.246527777777778,0.190324074074074,0.11,0.161342592592593,0.162546296296296,0.181435185185185,0.150694444444444,0.297268518518519,0.879953703703704,0.208703703703704,0.250324074074074,0.241944444444444,0.191157407407407,0.153518518518519,0.154027777777778,0.183564814814815,0.165324074074074
"comfort",0.510277777777778,0.44375,0.478055555555556,0.370046296296296,0.51287037037037,0.51125,0.570787037037037,0.407314814814815,0.443287037037037,0.367037037037037,0.572037037037037,0.564814814814815,0.613240740740741,0.719444444444444,0.459259259259259,0.621111111111111,0.645694444444444,0.42,0.507453703703704,0.339259259259259,0.467037037037037,0.576805555555556,0.561712962962963,0.634583333333333,0.246944444444444,0.38212962962963,0.43587962962963,0.556111111111111,0.609861111111111,0.606990740740741,0.489212962962963,0.619537037037037,0.672916666666667,0.551990740740741,0.385972222222222,0.484398148148148,0.472083333333333,0.366851851851852,0.49287037037037,0.531064814814815,0.556157407407407,0.317777777777778,0.438009259259259,0.599675925925926,0.582361111111111,0.331203703703704,0.503333333333333,0.628796296296296,0.560046296296296,0.294861111111111,0.368842592592593,0.430509259259259,0.408518518518519,0.417453703703704,0.505648148148148,0.516898148148148,0.404953703703704,0.591944444444444,0.605833333333333,0.438472222222222,0.555648148148148,0.394814814814815,0.320694444444444,0.341712962962963,0.327083333333333,0.364583333333333,0.37087962962963,0.381805555555556,0.455601851851852,0.491111111111111,0.436990740740741
"corn",0.0830660377358491,0.0758490566037736,0.0679716981132076,0.0689150943396226,0.0755660377358491,0.0677358490566038,0.0728301886792453,0.079622641509434,0.0795754716981132,0.0738207547169811,0.0722169811320755,0.0506132075471698,0.072877358490566,0.0874056603773585,0.102830188679245,0.095188679245283,0.0871698113207547,0.0697169811320755,0.0738207547169811,0.0674528301886792,0.0729716981132076,0.141415094339623,0.082877358490566,0.0891981132075472,0.082688679245283,0.0775,0.0658018867924528,0.162122641509434,0.210707547169811,0.191698113207547,0.0884905660377358,0.097688679245283,0.101556603773585,0.0747641509433962,0.062877358490566,0.214858490566038,0.157358490566038,0.493584905660377,0.481745283018868,0.325518867924528,0.315377358490566,0.220283018867925,0.3025,0.447122641509434,0.450566037735849,0.216179245283019,0.198160377358491,0.133867924528302,0.0991509433962264,0.0744811320754717,0.511320754716981,0.447971698113208,0.363537735849057,0.440849056603774,0.439905660377359,0.430566037735849,0.471037735849057,0.718207547169811,0.698962264150943,0.295896226415094,0.387830188679245,0.188349056603774,0.080188679245283,0.449198113207547,0.438962264150943,0.428443396226415,0.469481132075472,0.601132075471698,0.867971698113208,0.873632075471698,0.468349056603774
"driving",0.445046296296296,0.43462962962963,0.367314814814815,0.246944444444444,0.505555555555556,0.449768518518519,0.365833333333333,0.307685185185185,0.303888888888889,0.281759259259259,0.50625,0.442546296296296,0.506944444444444,0.490092592592593,0.301157407407407,0.299814814814815,0.317592592592593,0.276296296296296,0.298194444444444,0.281898148148148,0.342037037037037,0.391990740740741,0.41037037037037,0.437407407407407,0.553981481481482,0.538472222222222,0.602175925925926,0.505972222222222,0.495509259259259,0.544259259259259,0.308333333333333,0.361157407407407,0.3275,0.378425925925926,0.37962962962963,0.408657407407407,0.401666666666667,0.60375,0.549722222222222,0.421435185185185,0.415185185185185,0.413657407407407,0.407638888888889,0.419490740740741,0.520555555555556,0.375046296296296,0.364490740740741,0.327777777777778,0.438333333333333,0.488055555555556,0.672083333333333,0.562824074074074,0.536527777777778,0.556435185185185,0.47287037037037,0.413240740740741,0.382592592592593,0.467638888888889,0.503425925925926,0.426666666666667,0.37162037037037,0.44787037037037,0.57662037037037,0.549583333333333,0.55787037037037,0.505046296296296,0.463703703703704,0.471388888888889,0.635555555555556,0.619953703703704,0.524351851851852
"eating",0.331574074074074,0.308888888888889,0.296435185185185,0.276944444444444,0.349305555555556,0.296342592592593,0.313888888888889,0.339675925925926,0.294212962962963,0.280833333333333,0.341342592592593,0.302962962962963,0.316666666666667,0.394953703703704,0.326574074074074,0.329351851851852,0.354861111111111,0.315046296296296,0.321342592592593,0.323240740740741,0.311018518518519,0.345231481481481,0.379212962962963,0.357361111111111,0.191805555555556,0.175324074074074,0.276527777777778,0.332592592592593,0.397453703703704,0.406805555555556,0.417361111111111,0.38462962962963,0.447916666666667,0.403564814814815,0.381666666666667,0.368981481481481,0.370740740740741,0.612407407407407,0.550138888888889,0.484675925925926,0.41287037037037,0.425694444444444,0.401064814814815,0.437592592592593,0.448703703703704,0.476712962962963,0.488935185185185,0.509444444444444,0.517592592592593,0.446574074074074,0.608888888888889,0.502222222222222,0.438009259259259,0.547037037037037,0.513935185185185,0.464583333333333,0.450833333333333,0.543472222222222,0.530324074074074,0.551944444444444,0.556759259259259,0.582407407407407,0.515,0.446851851851852,0.525509259259259,0.4825,0.485324074074074,0.493194444444444,0.621018518518519,0.638981481481481,0.610185185185185
"efficiency",0.553703703703704,0.488796296296296,0.493055555555556,0.491851851851852,0.559907407407407,0.489027777777778,0.481157407407407,0.359768518518519,0.447824074074074,0.443935185185185,0.577824074074074,0.447962962962963,0.488101851851852,0.531990740740741,0.388425925925926,0.437592592592593,0.46375,0.363935185185185,0.461296296296296,0.462777777777778,0.54712962962963,0.471435185185185,0.578425925925926,0.546666666666667,0.292453703703704,0.320185185185185,0.394398148148148,0.50712962962963,0.623101851851852,0.601805555555556,0.296527777777778,0.390138888888889,0.469074074074074,0.441990740740741,0.417824074074074,0.584583333333333,0.534537037037037,0.45912037037037,0.470787037037037,0.503703703703704,0.495231481481481,0.296296296296296,0.346018518518519,0.397268518518519,0.509074074074074,0.286805555555556,0.377592592592593,0.475648148148148,0.413240740740741,0.433055555555556,0.546527777777778,0.583194444444444,0.573148148148148,0.492361111111111,0.544444444444444,0.524398148148148,0.385231481481482,0.473703703703704,0.509259259259259,0.363287037037037,0.492175925925926,0.453981481481481,0.457731481481481,0.599907407407407,0.595787037037037,0.626342592592593,0.510555555555556,0.561990740740741,0.492685185185185,0.511342592592593,0.546018518518518
