"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"eggplant",0.0720283018867924,0.152358490566038,0.686132075471698,0.727830188679245,0.0736792452830189,0.179528301886792,0.559292452830189,0.930235849056604,0.771556603773585,0.404009433962264,0.0792924528301887,0.118679245283019,0.159009433962264,0.158962264150943,0.938490566037736,0.650566037735849,0.522547169811321,0.740754716981132,0.387971698113208,0.137735849056604,0.0779245283018868,0.156320754716981,0.101933962264151,0.0881603773584906,0.217971698113208,0.124952830188679,0.147877358490566,0.176084905660377,0.174669811320755,0.200754716981132,0.532264150943396,0.247547169811321,0.130188679245283,0.160707547169811,0.106509433962264,0.196933962264151,0.159716981132075,0.553066037735849,0.468962264150943,0.361037735849057,0.235094339622642,0.355849056603774,0.233160377358491,0.202452830188679,0.202877358490566,0.169528301886792,0.145660377358491,0.0734433962264151,0.0808018867924528,0.0591037735849057,0.472122641509434,0.434292452830189,0.354575471698113,0.439292452830189,0.367169811320755,0.301367924528302,0.194103773584906,0.134481132075472,0.180660377358491,0.0986320754716981,0.0872641509433962,0.0670283018867925,0.0723584905660377,0.374764150943396,0.388820754716981,0.386603773584906,0.305801886792453,0.194292452830189,0.111698113207547,0.0980188679245283,0.0866037735849057
"grape",0.138888888888889,0.24662037037037,0.695555555555556,0.659027777777778,0.136296296296296,0.231064814814815,0.565555555555556,0.853009259259259,0.669675925925926,0.412083333333333,0.107916666666667,0.138981481481481,0.183564814814815,0.135324074074074,0.869351851851852,0.660277777777778,0.48712962962963,0.755416666666667,0.443888888888889,0.269351851851852,0.101851851851852,0.171574074074074,0.121157407407407,0.115972222222222,0.0711111111111111,0.106759259259259,0.0950462962962963,0.100416666666667,0.0905092592592593,0.0645833333333333,0.650509259259259,0.270231481481481,0.200509259259259,0.273009259259259,0.227916666666667,0.30462962962963,0.263009259259259,0.459675925925926,0.586388888888889,0.412407407407407,0.246805555555556,0.225138888888889,0.143611111111111,0.124074074074074,0.121898148148148,0.174722222222222,0.154259259259259,0.135509259259259,0.2175,0.223333333333333,0.572222222222222,0.540185185185185,0.422083333333333,0.581851851851852,0.511388888888889,0.370972222222222,0.151111111111111,0.147268518518519,0.141111111111111,0.125,0.14037037037037,0.153333333333333,0.180555555555556,0.454768518518519,0.54,0.533240740740741,0.417777777777778,0.323796296296296,0.1425,0.141759259259259,0.124212962962963
"leisure",0.605972222222222,0.559814814814815,0.577546296296296,0.462083333333333,0.59462962962963,0.566481481481481,0.63162037037037,0.461574074074074,0.532175925925926,0.41087962962963,0.622222222222222,0.562314814814815,0.63125,0.67162037037037,0.536990740740741,0.59037037037037,0.605740740740741,0.414444444444444,0.447824074074074,0.410555555555556,0.555833333333333,0.604490740740741,0.623333333333333,0.631296296296296,0.2675,0.317083333333333,0.365833333333333,0.52,0.495138888888889,0.483518518518519,0.46375,0.509212962962963,0.548842592592593,0.507222222222222,0.40212962962963,0.536851851851852,0.507824074074074,0.491759259259259,0.537916666666667,0.553101851851852,0.559351851851852,0.344814814814815,0.411574074074074,0.500972222222222,0.532453703703704,0.325694444444444,0.491944444444444,0.540185185185185,0.482222222222222,0.412638888888889,0.505925925925926,0.549305555555556,0.519212962962963,0.441064814814815,0.548611111111111,0.529583333333333,0.373194444444444,0.518796296296296,0.584722222222222,0.4325,0.569398148148148,0.421111111111111,0.390648148148148,0.476712962962963,0.500740740740741,0.491296296296296,0.478703703703704,0.517222222222222,0.555231481481481,0.566064814814815,0.498101851851852
"mushroom",0.0869339622641509,0.102735849056604,0.0877358490566038,0.0876415094339623,0.0888679245283019,0.111839622641509,0.0927358490566038,0.109905660377358,0.095,0.085377358490566,0.0788679245283019,0.115943396226415,0.125849056603774,0.184858490566038,0.13627358490566,0.121509433962264,0.150707547169811,0.128254716981132,0.10877358490566,0.111084905660377,0.0825943396226415,0.14938679245283,0.145330188679245,0.120424528301887,0.385330188679245,0.550424528301887,0.567452830188679,0.574716981132075,0.582688679245283,0.612735849056604,0.220990566037736,0.235660377358491,0.180754716981132,0.121603773584906,0.0973584905660377,0.145141509433962,0.104669811320755,0.215754716981132,0.243584905660377,0.218066037735849,0.238820754716981,0.599245283018868,0.743160377358491,0.712075471698113,0.605283018867925,0.539811320754717,0.456745283018868,0.25688679245283,0.161037735849057,0.148396226415094,0.223915094339623,0.165707547169811,0.190943396226415,0.275801886792453,0.249292452830189,0.251367924528302,0.511084905660377,0.483867924528302,0.433207547169811,0.366981132075472,0.274481132075472,0.160047169811321,0.202264150943396,0.149198113207547,0.198915094339623,0.182122641509434,0.202122641509434,0.215707547169811,0.304669811320755,0.3025,0.211981132075472
"peach",0.0807407407407407,0.0775925925925926,0.0968981481481481,0.131851851851852,0.075462962962963,0.0868055555555556,0.0978240740740741,0.12837962962963,0.146527777777778,0.196342592592593,0.0730555555555556,0.0833333333333333,0.0844444444444444,0.0861111111111111,0.124444444444444,0.185416666666667,0.233703703703704,0.180277777777778,0.285972222222222,0.24787037037037,0.0766666666666667,0.122962962962963,0.0865277777777778,0.102083333333333,0.0852777777777778,0.0648148148148148,0.0741666666666667,0.0966666666666667,0.110601851851852,0.102962962962963,0.257824074074074,0.474074074074074,0.630416666666667,0.478425925925926,0.279861111111111,0.10875,0.116666666666667,0.169212962962963,0.175787037037037,0.153981481481481,0.154259259259259,0.154166666666667,0.245509259259259,0.383564814814815,0.451527777777778,0.265231481481481,0.626574074074074,0.785185185185185,0.621527777777778,0.351296296296296,0.160092592592593,0.171157407407407,0.14787037037037,0.166574074074074,0.182175925925926,0.229074074074074,0.228101851851852,0.421435185185185,0.525185185185185,0.467777777777778,0.773101851851852,0.449305555555556,0.315138888888889,0.147314814814815,0.145555555555556,0.162916666666667,0.164074074074074,0.181944444444444,0.3475,0.45462962962963,0.581481481481481
"reliability",0.48787037037037,0.465277777777778,0.436203703703704,0.450138888888889,0.5275,0.48087962962963,0.536018518518519,0.41287037037037,0.432222222222222,0.409027777777778,0.522361111111111,0.447592592592593,0.495,0.551296296296296,0.411990740740741,0.451712962962963,0.526296296296296,0.439074074074074,0.463657407407407,0.422777777777778,0.484027777777778,0.536342592592593,0.501296296296296,0.514212962962963,0.305046296296296,0.370648148148148,0.398009259259259,0.590833333333333,0.602175925925926,0.593287037037037,0.443194444444444,0.529444444444444,0.547361111111111,0.534305555555556,0.428657407407407,0.436574074074074,0.434768518518518,0.447037037037037,0.450138888888889,0.512037037037037,0.473425925925926,0.359166666666667,0.385555555555556,0.477268518518519,0.575787037037037,0.399722222222222,0.469907407407407,0.535092592592593,0.502685185185185,0.382824074074074,0.476064814814815,0.430972222222222,0.461666666666667,0.402175925925926,0.508981481481481,0.440185185185185,0.41287037037037,0.547175925925926,0.520925925925926,0.490185185185185,0.514212962962963,0.447083333333333,0.395694444444444,0.384722222222222,0.461759259259259,0.427268518518518,0.419027777777778,0.417685185185185,0.496018518518519,0.546990740740741,0.527685185185185
"safety",0.537777777777778,0.467638888888889,0.455833333333333,0.328425925925926,0.557546296296296,0.504722222222222,0.494814814814815,0.42587962962963,0.402453703703704,0.370509259259259,0.552407407407407,0.502175925925926,0.56962962962963,0.638703703703704,0.418888888888889,0.5375,0.555787037037037,0.33912037037037,0.451805555555556,0.397361111111111,0.489583333333333,0.487916666666667,0.586157407407407,0.572083333333333,0.284398148148148,0.318657407407407,0.379490740740741,0.560509259259259,0.605787037037037,0.664953703703704,0.379768518518519,0.456157407407407,0.565462962962963,0.462407407407407,0.312777777777778,0.463101851851852,0.451203703703704,0.446481481481481,0.58375,0.558194444444444,0.512175925925926,0.329259259259259,0.388194444444444,0.57537037037037,0.584537037037037,0.40912037037037,0.488842592592593,0.512453703703704,0.469814814814815,0.325787037037037,0.464305555555556,0.500324074074074,0.498842592592593,0.47587962962963,0.569537037037037,0.505138888888889,0.439305555555556,0.549537037037037,0.566527777777778,0.461990740740741,0.513935185185185,0.398657407407407,0.321296296296296,0.46912037037037,0.520694444444444,0.473472222222222,0.456018518518519,0.536805555555556,0.534305555555556,0.525185185185185,0.493518518518519
"sleeping",0.59337962962963,0.698611111111111,0.591388888888889,0.400277777777778,0.570092592592593,0.792546296296296,0.691805555555556,0.621111111111111,0.492916666666667,0.274907407407407,0.433287037037037,0.806342592592593,0.795324074074074,0.678842592592593,0.74962962962963,0.619537037037037,0.475601851851852,0.551481481481481,0.376666666666667,0.217453703703704,0.307731481481481,0.643101851851852,0.515972222222222,0.424166666666667,0.823796296296296,0.76875,0.712731481481481,0.616018518518519,0.395,0.455694444444444,0.631157407407407,0.515138888888889,0.418935185185185,0.341064814814815,0.208194444444444,0.36875,0.310277777777778,0.522592592592593,0.485694444444444,0.43537037037037,0.360416666666667,0.54087962962963,0.517685185185185,0.452268518518519,0.408240740740741,0.487314814814815,0.452453703703704,0.330509259259259,0.305046296296296,0.156898148148148,0.422546296296296,0.306944444444444,0.268703703703704,0.433888888888889,0.318888888888889,0.321712962962963,0.448425925925926,0.358055555555556,0.308148148148148,0.356157407407407,0.303935185185185,0.274953703703704,0.159907407407407,0.217962962962963,0.244444444444444,0.21375,0.255046296296296,0.223333333333333,0.25,0.266342592592593,0.247731481481481
"speed",0.518935185185185,0.424768518518519,0.432638888888889,0.499166666666667,0.455694444444444,0.336203703703704,0.41787037037037,0.33787037037037,0.412824074074074,0.614305555555556,0.549351851851852,0.256111111111111,0.29662037037037,0.368009259259259,0.224814814814815,0.340555555555556,0.44587962962963,0.335092592592593,0.446898148148148,0.611157407407407,0.589675925925926,0.325,0.44787037037037,0.53287037037037,0.249027777777778,0.232731481481481,0.203472222222222,0.343009259259259,0.53212962962963,0.458009259259259,0.243287037037037,0.304027777777778,0.468935185185185,0.400555555555556,0.590694444444444,0.591851851851852,0.615648148148148,0.334351851851852,0.395138888888889,0.461851851851852,0.463101851851852,0.212777777777778,0.230787037037037,0.337222222222222,0.411759259259259,0.259768518518519,0.321157407407407,0.418611111111111,0.53787037037037,0.691064814814815,0.531666666666667,0.625972222222222,0.583888888888889,0.382685185185185,0.506435185185185,0.534259259259259,0.286481481481482,0.442037037037037,0.4675,0.397453703703704,0.446527777777778,0.534907407407407,0.708888888888889,0.721157407407407,0.676064814814815,0.696805555555556,0.548148148148148,0.631435185185185,0.602962962962963,0.618101851851852,0.596944444444444
"working",0.422916666666667,0.483425925925926,0.325185185185185,0.277453703703704,0.447962962962963,0.507824074074074,0.391064814814815,0.346018518518519,0.305833333333333,0.282175925925926,0.380555555555556,0.583981481481481,0.500833333333333,0.407222222222222,0.444490740740741,0.404953703703704,0.320648148148148,0.380324074074074,0.319444444444444,0.222638888888889,0.338796296296296,0.468935185185185,0.436018518518519,0.419166666666667,0.617175925925926,0.68125,0.65162037037037,0.652638888888889,0.569305555555556,0.576851851851852,0.510231481481481,0.405277777777778,0.330509259259259,0.34337962962963,0.233240740740741,0.415324074074074,0.380509259259259,0.55287037037037,0.552268518518519,0.449953703703704,0.423287037037037,0.531666666666667,0.566296296296296,0.510601851851852,0.486296296296296,0.505833333333333,0.494074074074074,0.310787037037037,0.375833333333333,0.325462962962963,0.491666666666667,0.445324074074074,0.420277777777778,0.513425925925926,0.431712962962963,0.365833333333333,0.505324074074074,0.42912037037037,0.460185185185185,0.426388888888889,0.379953703703704,0.431944444444444,0.37875,0.395787037037037,0.40287037037037,0.382916666666667,0.437222222222222,0.394861111111111,0.428148148148148,0.464212962962963,0.419027777777778
