"","concepts","c1_pred","c2_pred","c3_pred"
"1","dress","0.13485111508602","-0.0395859143560111","0.0435267125079029"
"2","above","-0.0170035488847583","-0.0310108243599229","0.0773920886545917"
"3","angry","0.0343295515882033","0.0373551159478185","0.0296385480867397"
"4","blueberry","-0.0596266001738887","0.24637478989935","-0.062306207258792"
"5","beach","0.0537225191371829","-0.0190792480171931","-0.042071150208152"
"6","dawn","-0.00775867574495015","-0.0317342595087041","0.0529328699843876"
"7","pants","0.0705323785206098","-0.105249979254018","0.106223701811054"
"8","below","-0.155940975462207","-0.14275757676978","0.00133156891948487"
"9","disgust","0.124913766070907","0.0403681145766047","0.0679866105107717"
"10","lemon","-0.0568786052585678","0.115943342328283","-0.0677874793373464"
"11","field","-0.0130560291885664","-0.0559190387104367","0.0232251791036717"
"12","day","0.00828837320081884","-0.0693505954929565","0.0576085754495628"
"13","shirt","0.0702566943311201","-0.0232864879026654","0.00935805299933933"
"14","beside","-0.0667504316291958","0.00955541274993709","0.0128288355020985"
"15","fearful","0.040627159870566","0.0150523680480757","0.0394428896435559"
"16","mango","-0.0448966389574031","0.157319539127305","-0.106865658822024"
"17","ocean","-0.00337365669574568","-0.0488222521149301","-0.165683723348882"
"18","dusk","-0.0804308972590793","-0.052651304752743","-0.0368770629706699"
"19","shoes","0.0563965034115969","-0.0360169740299643","0.0135827796819307"
"20","far","-0.0257722852987796","0.00925052192870898","0.00662169362221299"
"21","happy","0.0448862014050707","0.0446937386316929","0.0325232038309076"
"22","strawberry","-0.0129276616299232","0.128046772364747","-0.133813620460437"
"23","sky","-0.0067834546328876","-0.00652890459990637","0.0135792422599079"
"24","night","-0.130347422574111","-0.083534739638653","0.0401838656748377"
"25","socks","0.106032472274449","-0.0560850593770907","0.0029570621119987"
"26","near","-0.0243845917383892","-0.0120630667462238","0.0843318499741949"
"27","sad","-0.0977234018713459","0.0217619096298816","0.109199316182898"
"28","watermelon","0.0161126624874711","0.111295124531841","-0.149383387216401"
"29","sunset","-0.0409143003611446","-0.132772358667038","-0.0450156302252322"
"30","noon","0.0520671816091807","-0.0264223669208342","0.147804568605873"
