"","concepts","c1_pred","c2_pred","c3_pred","c4_pred","c5_pred","c6_pred"
"1","above","0.0479531743215766","-0.208176109201429","0.27294301307836","-0.0165990113739268","0.00013597998245863","-0.112063082297889"
"2","angry","-0.020259239391345","-0.0475294237645733","0.0200654053038646","-0.1767554721581","0.0155500384515242","-0.15845367850077"
"3","beach","0.0150215298781386","-0.406823156843703","-0.146848765607343","-0.0174877837598053","-0.0460904488496987","-0.165750427603963"
"4","below","-0.0438080113006007","-0.368731998456519","-0.0387377381451178","-0.00200050140830838","-0.0298379824099634","0.0443489102786624"
"5","beside","0.0110792197882893","-0.00898709345931548","0.222099691445929","-0.0220717363284676","-6.06481376404315e-05","0.0333856162722469"
"6","blueberry","-0.085422185676155","0.793409598921189","-0.172771372636585","-0.00711483850259809","0.0132933853169881","0.234503610798256"
"7","dawn","0.00857491274772746","-0.178908204636215","0.153760557015033","-0.00123439679655862","0.0116833580628719","-0.176338249822153"
"8","day","0.0527161459856011","-0.0467532962553763","0.121841978283359","0.00217479520311803","0.000408143481734714","-0.148978276992516"
"9","disgust","0.0246459671330941","0.233214444213038","0.00640363396696433","0.0182160471345898","-0.0171168366875081","0.114602115023066"
"10","dress","0.0392466414328956","-0.12959687260576","0.0786500476676568","0.0041774014566511","0.104852265912051","0.322243394121375"
"11","dusk","-0.0719024488983827","-0.0409889017718777","-0.135379632538219","0.043637724663832","0.0121984792278448","-0.211037808275328"
"12","far","-0.0144278773524538","-0.0966494176988063","0.0220847075589117","-0.0129387492350674","-0.0231565508495919","-0.0858031715909217"
"13","fearful","-0.0234792522864721","0.0264895617587851","0.25363665263983","-0.00622536637878986","0.00187190274605506","-0.173587540013227"
"14","field","0.0135424643985282","-0.241300298690157","0.08706335617219","0.0270722270066695","-0.0294804769112899","-0.0486400012888173"
"15","happy","0.0820992626441286","0.0204605437608924","0.0791577772876293","-0.025225455299984","0.00885801555177496","-0.0135798361034935"
"16","lemon","0.00202368377360721","0.579435417161125","0.0102226283634476","-0.0117239052856672","-0.248141707233722","0.0661683509356382"
"17","mango","0.00619784317198897","0.506993976514822","-0.239854322910401","-0.00793396810142747","-0.174546245407835","0.0585262899782356"
"18","near","0.0163458259599844","-0.103102193489649","0.261293358302834","-0.0141144416882329","0.000585962960403683","-0.145216422389894"
"19","night","-0.118493059926216","-0.272918469990328","0.0376597947081611","0.00989286656467818","0.0455716537935375","-0.0557266701671722"
"20","noon","0.0400314042812726","-0.380036421067951","0.234157939831127","0.291660288799677","-0.0133440477372068","-0.206241957189094"
"21","ocean","-0.0256102673103918","-0.212019648975376","-0.0109595805822589","0.0578437086406342","0.0851225659324878","-0.147324517298882"
"22","pants","-0.033917115384265","-0.418347412171526","0.373872825044643","-0.00675659406310762","0.0158456379821591","0.449218951500793"
"23","sad","-0.0510304689609746","0.240117969837932","0.279774972702451","0.0137471976163323","-0.0326653999638417","-0.0217183951044956"
"24","shirt","0.0196348795224348","-0.14812132448078","-0.0118199925748532","0.0290906053020256","0.0148798967775332","0.350924038125366"
"25","shoes","-0.0240478293618823","-0.204008062742566","0.138328695862455","-0.0248198596959544","-0.000237865046409088","0.321177383646567"
"26","sky","-0.0248753058338139","-0.0652582633324662","-0.0499008041510705","0.00570209590602506","-0.00138484958141245","-0.140485020172834"
"27","socks","-0.028115204851561","-0.331864964515021","-0.00239825228779084","-0.022246763187257","0.0302350999498361","0.348249595581994"
"28","strawberry","0.0050034548031936","0.473031995356221","-0.293032146631051","-0.00267187717315152","0.0175574612633417","-0.0631119554609928"
"29","sunset","0.0133961526506474","-0.295792285800299","-0.0497533158472306","-0.0408078111739254","0.00776065469724785","-0.190035407783"
"30","watermelon","0.0259493500238127","0.304869594783841","-0.444762033283313","0.065565473852534","0.0253209674014031","-0.0266141555616195"
