"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",-0.248985150736378,0.0854624302428947,-0.190980965753767,0.00228591630725033,0.0235161299197579,-0.096537593102379,0.0189741685687677,-0.123778740314964,0.0771678339525931,-0.182586683783681,-0.176227666282979,0.00281741966178988,0.115926562493203,0.0685911094966186,0.107100940562462,-0.23262953486564,-0.117039109840796,-0.0267160599942117,-0.0684692132000668,-0.040830284127249,0.123899095216669,0.028807053181442,0.132540632513037,0.0523198780289511,-0.027476536516683,0.0770367565904921,-0.0158623149822604,-0.150267791827173,-0.161701298836522,-0.160605212913721
"2",0.0300651506061724,0.263121560359686,0.0266961687334274,-0.0461203975477842,0.0498074902008384,-0.165214129524838,0.0476918852561766,-0.120175245285524,-0.0939864343686534,0.0597423672639178,0.101670432098423,0.0242632259314982,-0.0292497914186949,-0.0923829385017777,-0.101595119594183,-0.0718934492619113,-0.0908722554668648,0.1281231989806,-0.0504490549407956,0.278385366721537,0.0362698828997804,-0.372694933659454,-0.141759705859615,0.000675427771330406,0.15653330672974,0.0928904032924138,0.101447302342586,-0.268607095367088,0.0301738432881992,-0.218407623202083
"3",-0.0721721666107435,0.210815873802883,-0.0893324934185349,-0.0477538387754877,0.00599396166729855,-0.204511650423728,0.0857837027349645,-0.0538284439804858,0.0984404673186122,-0.0665040594191542,-0.0942718133134657,0.0952506610133939,-0.0309560875882767,-0.18488930577825,-0.124114605808547,-0.115555014588957,0.271962827810219,0.108069762151649,-0.088467260558235,0.0422398847577117,0.0964340234950753,0.110606143112523,-0.112096763987805,0.0713798797014798,0.0515828905189705,0.105541561123714,0.116709579944018,0.11432399015731,0.258757692240354,-0.207340842957623
"4",-0.173174330252367,0.125498060546922,-0.186118123604674,-0.135377754388798,-0.00408626875729175,-0.0248305247288222,0.276588774362354,-0.017018669254022,0.0575581131304828,0.193425098655393,-0.0823563306787091,-0.0349662969694094,0.200999683256348,-0.0486726892063821,0.270884624197156,0.128271347801706,-0.130264785091665,-0.0664974370484561,0.146671810462062,0.0649785098368501,-0.270951578366272,0.018886533625025,-0.0197698277640363,0.0387038391815488,-0.145436469019121,0.00773542335578755,0.17672626302087,0.188012144416261,-0.112031798155646,0.186755409544873
"5",0.0263221881546893,0.197202830739437,0.212407253658021,0.00408437100480604,-0.0594569711608266,-0.120460049640783,-0.0701281620714521,0.145727036517929,-0.0707559669063505,0.0331364563121051,0.029910215617055,-0.204369143437373,-0.0681764807947272,-0.360610992263551,0.0522586959177978,0.117470867237638,-0.121170106893351,0.304236968893756,0.101660399041708,0.0542540752168222,0.171159785733348,-0.0520954945630709,0.165558047391946,-0.121847593142694,-0.0047398842868822,-0.292924559755827,-0.14109819294676,0.0942744781072099,0.0314622236971167,0.122667426420941
"6",-0.074867371838966,0.133094435381259,0.131531849637266,1.88744117965251e-05,0.000221180218171368,0.0221352148509357,-0.0375947824070983,0.193930405044096,0.0490942153071084,0.11834606110099,0.0670161433245782,0.144923210274013,-0.0905389540966445,0.13945674520441,0.0841190459709098,0.175847018693637,0.0906784558777488,-0.216656185903172,-0.0806397533603491,0.109648730531011,0.0633348186192398,0.0475659603158079,0.0763474377353852,0.115201578795243,-0.373179784755025,-0.052306063930573,-0.0180520841611179,-0.148297206080527,-0.0283837153156507,-0.163089167477512
"7",-0.162404323921681,0.0803597460386825,0.00866904497161831,0.00036663950876955,-0.0832182677330663,0.0943569468872257,-0.0268396836748364,0.189437614746024,-0.0593699155444798,-0.119869294774397,0.127065466005166,-0.121795196033233,0.0187564067262829,0.0124007989525454,0.0366296577788894,-0.1758637956556,-0.000715095748484556,-0.15692398860198,0.0736516249221959,-0.0162282565278722,0.0267809613911833,-0.0118689505580321,0.0433033351175621,-0.159163639626796,0.0327060554917199,0.0754340761058981,-0.161135583848489,0.0109853279284369,0.223003563334591,0.117810528474044
"8",-0.0560512453604253,0.12467217820824,0.179669228846256,0.0496187952316545,-0.00100384564133277,-0.0178183246162282,-0.0233310122102004,0.247861251239698,0.13265638416188,-0.0578269015483443,-0.0900653289533024,-0.161659137791299,0.00911681479306168,0.211422441944361,0.134542725030283,0.079212989783643,-0.10141958939486,0.245588242727541,0.0353292904724516,-0.118691005130737,0.172316243554756,-0.0829391378458363,-0.0538130281356149,-0.0920083762634856,-0.204467646957357,0.227789089120322,-0.0522241095474509,-0.0257372691260409,-0.186961472779921,-0.0372563705292022
"9",-0.112160504273604,0.0493319940470767,0.140945765563555,0.132322163236145,-0.128035514474398,0.0750498917786847,0.0583394016809653,0.0178015742011091,-0.149342289019444,0.360553322722566,-0.11930452065978,-0.0497362856147574,-0.196316106535111,0.0266124604637721,0.103463660969761,0.0193187326074704,-0.14739233983032,0.0642404039673221,-0.229318299757304,0.0547009658552726,-0.198012410104926,-0.0690437281966489,0.0128386474723869,0.30980333167714,0.224147680356698,-0.0257733150737347,-0.113505231383069,0.123401774755983,0.047260295710869,0.0272981885110103
"10",-0.101644140324394,0.0308754200327817,0.163868660362559,0.176156690334571,0.0329327589964665,0.0694776330522308,0.0200723209864584,-0.142440413495405,-0.0617183791110416,0.0602792576649615,0.1157810250411,0.12762742162845,0.0290458073591761,0.165662956968131,0.171046108996194,-0.123783998752782,-0.0704336369402191,0.0510323868337994,0.0838685416858068,-0.108098063465425,-0.0681387524079282,0.181744130651962,-0.195630621156882,-0.280430508925129,0.142230404024459,0.106182146875525,-0.0592980368052068,0.060329849608313,0.163275310276002,0.00119553053846801
