"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-0.175474707735309,-0.135370443727017,0.245142932989374,-0.045181709149039,-0.042751929664596,-0.00659982642034776,0.123330594249375,0.167954601189128,0.0277278690281089,0.119930808135111,0.0270803443423501,0.0655081671393677,0.0156041708082598,0.126074642767852,0.0242776218734695,-0.207333514603071,0.18203846388995,0.200378639203339,0.0435823843795533,-0.355880994850745,0.115223709103375,0.0832730547605704,-0.0640519361009362,0.0324433894783669,-0.051165762046975,0.00889413215285717,0.0227339428191317,-0.076148403829231,0.234205435625109,-0.208358517993627
-0.1288809054253,-0.228757746651879,-0.115426106687058,-0.0279346523051452,-0.00435847259455278,0.104326419251236,0.0878496529062967,-0.0549034635035212,0.112643057781348,-0.163644790401949,0.122764684055627,0.00732556476579032,0.0837013417761559,0.0559970974294233,-0.360688252055152,0.0295469205232222,0.147849449432898,-0.233866548953662,-0.190235561142742,0.0672802343721246,0.0178159118699545,-0.189552605318723,0.157133247329346,0.0657257919412141,-0.149868222810543,0.0646077583276454,-0.00926442578450246,0.0541786226643843,-0.0383422645199602,-0.0155472285771761
-0.138670734040556,-0.234077501315261,0.0402739393221804,-0.054187753809578,-0.0475886259355685,0.0895048289922055,0.169802411327557,-0.0279546117006508,0.0481225239481068,-0.0317249576276585,0.0911254787954246,-0.151714700017602,-0.107280051499598,0.126007879636211,-0.0469918927523217,0.0396165070227579,-0.141006796025895,0.0429645045541848,-0.0383418777447327,-0.0619391419520666,-0.156800563245075,0.158407144529901,0.0968086446588678,0.0168682918166693,0.129555916069778,-0.250908005132571,0.0841716216499932,-0.0022720354617172,-0.013868296013956,-0.111894571984615
-0.184066385318623,-0.167310520658061,0.191836002351301,0.0470954292469978,0.0430858590106579,-0.0263750730247238,0.138156503813915,-0.0733062014086422,0.0711600460861681,0.198767638885847,-0.231326589046917,-0.0919730720406316,-0.0145723060415911,0.177037896129476,0.159013592404419,-0.126191882172089,0.178305415017595,0.106057255473912,0.070746802492703,0.152210928459884,-0.0375227469306355,-0.0111559071550188,-0.0645248560520256,0.081988618872552,-0.11799326950772,-0.00767494441176026,-0.16679878334814,0.151344705402866,-0.131494818852377,0.0427365820545251
-0.143319622720812,-0.00277857758886073,-0.233150195399405,-0.117638380798825,-0.0981255665021392,0.162648367679631,-0.125109188808053,-0.134784304947117,-0.0769382865010017,-0.0557009847446076,-0.121752921480221,-0.336214170553701,0.170191283619322,-0.000328984588534889,0.0374303652338401,0.381791316959498,0.0915127287119765,0.137987281405529,-0.130158948035061,0.0642893409777723,0.039946400398754,0.15280458266769,-0.0626686887820843,0.226505431357561,-0.100344179214679,0.116687898699064,-0.0754475695803506,0.0181985757920815,0.169192609141093,-0.126125312511921
-0.160274039741237,0.0333410675358316,-0.111804240911809,-0.0784299628141865,-0.0275693101937595,0.094607543573998,-0.0934521386161361,-0.0715041170089046,0.0168283474105796,0.0377930216566024,-0.149023485930571,0.136756425845338,-0.13764977411378,-0.00133800999597009,0.0756715817348994,-0.0114870885281738,0.00829417531780922,-0.136100120879713,0.04994780148408,0.100913571786914,-0.081651467202461,-0.265968688076537,0.243537724282407,0.149795935122211,0.0507968531646782,-0.0411564837254969,-0.18424016417854,0.115018466810651,0.144634610786676,0.0858277400829554
-0.192246321611714,0.0485515515589892,0.00563400161634963,0.01353201726858,0.0182664895549405,-0.0253481910839468,-0.0441544007166655,-0.0299370034347532,-0.239250837366128,-0.0149488817482606,-0.106890063342095,0.135161482406658,-0.00831931096236936,0.096017915468781,-0.0360922314439642,-0.0747626500989119,-0.0874531956863035,-0.140154226037068,0.0539887971535171,-0.154239265919633,-0.0274355619199903,0.095269399858919,-0.153595258678657,0.0322782026120341,-0.0453857219673699,0.150415228871173,-0.0277155824940263,0.0253820210307905,-0.0648079439906403,0.0957556463927778
-0.140519717673526,0.0762955874362425,-0.167505904887956,-0.145698423763118,-0.0190734655943748,0.0762440263165794,-0.0764646785417088,0.0435876613364298,-0.123560883476826,-0.107580238954789,-0.062127368361268,-0.0234883043001296,0.0918920566725123,0.190512173217066,0.242073060587397,-0.157639713313471,0.219735377767644,0.104599587311399,-0.0584979906011668,-0.0526419450154203,-0.0256751960680914,-0.138782984106577,-0.124651771564625,-0.0316815436288945,0.242380302684433,0.0883471814158941,-0.00511069206393607,-0.150473736607484,-0.0575157034735966,0.148444076557666
-0.184119657511117,0.115874196257031,-0.0522606437994368,-0.0837997712071775,-0.0227226747544139,-0.0820378068568203,-0.027454876935175,-0.109039085123469,0.0655561497583537,-0.149693534181402,0.0840224474834522,-0.151136068944539,-0.144356016995579,0.028402091412148,-0.0288891740401321,-0.041676184246215,0.267338674461844,-0.14320918549593,0.269344406109503,0.0720467284960276,0.137026810026176,-0.005325862660637,0.037425164648225,-0.11025201064926,-0.216841560085116,-0.00842816601202833,-0.215201988701205,-0.189718920891635,0.0678171182552618,-0.12402328788071
-0.135084109055519,0.128858211976999,-0.0496914594891091,-0.142763122798166,0.0281312338718384,-0.122810028267009,0.0144818885310725,0.0922454770992746,-0.0231916903913043,0.084333822095504,0.0662371343562118,0.123826249148426,-0.000528343576684726,0.09993702958728,-0.0249063994100968,0.0728877246202113,-0.0434092209651266,-0.0685677820055875,-0.0214926709376745,-0.149499175187465,0.0974581455052372,-0.0994299486706196,-0.217684764073336,-0.134234467677818,-0.361703129635077,0.0745222458185483,0.143990368893637,0.137775399812529,-0.081041545778154,0.0567133947634367
