"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"dress",0.418043129565627,0.591979118215506,0.547436051506712,0.527781051649092,0.505377419392327,0.516967195959067,0.51455406864566,0.59645921329507,0.626388753363075,0.467328729556527,0.543638808447122,0.702036016073627,0.497037892802787,0.614440406583172,0.561962375239114,0.488330921459735,0.626067274435149,0.578782871345413,0.493813685317945,0.550672544634072,0.486484453272635,0.352128958895874,1,0.756387017870196,0.587064527931154,0.540571871418193,0.969290614716626,0.344026473468474,0.394416081435094,0.553089438594859,0.525397470580419,0.471478165248307,0.482540753484278,0.314841495352661,0.43788489087086,0.462272795006662,0,0.121916992829983,0.35161690431206,0.252663362228275,0.275371216300088,0.517786489290807,0.466214584243326,0.439672965610964,0.20600010674191,0.350696416590729,0.35398669081631,0.3321484371707,0.0353341744347528,0.469478739759187,0.1575047506648,0.204209179466661,0.307311814277181,0.345395335495709,0.131379731856015,0.187418557681797,0.526533826997377,0.278058084976036
"pants",0.303035855162207,0.796007349688409,0.52756758172502,0.446215851149684,0.211604122380199,0.186725878716396,0.277446409853189,0.247864778704629,0.194836609439032,0.114976952394477,0.485961820670072,0.553743297163328,0.289715937328242,0.148939059014313,0.176349408025524,0.0661355594351962,0.542183938296536,0.508171176365703,0.319332593941094,0.0373652412113307,0.288564163217921,0.229508651249947,1,0.857652973631051,0.80170660930971,0.842469926017195,0.863905405093064,0.311833806757183,0.332614212725886,0.231637186755417,0.0919603642619848,0.0661132487905503,0.328777331604834,0.293235015885707,0.247075974996124,0.0909069032636474,0.329502547415994,0.566979046196704,0.640898486636246,0.548003496610482,0.363789086810279,0.136136059809968,0.125873997676705,0,0.196003909518933,0.207540418809746,0.183334513515933,0.169754637591257,0.176888242607852,0.348800017267649,0.193410848774733,0.248161782602172,0.159312012778708,0.0558103354642514,0.132621635958845,0.134527864412108,0.145169912457741,0.133288356440509
"shirt",0.378499034810731,0.632612815287357,0.505528479051689,0.711150380414542,0.383646051086148,0.369987795441267,0.490393279338539,0.212205017198413,0.496698723164464,0.056709014202759,0.599487955269737,0.64139737724224,0.54062270528336,0.409227947514758,0.367329095362918,0.218187085877614,0.419339081937828,0.541861989265118,0.426430123594633,0.32943835254881,0.499497532019559,0.325850629568254,1,0.789192307715803,0.695336012858701,0.792953216910451,0.950199911014283,0.388589518154672,0.247950811546042,0.553906623771166,0.29205393659122,0.142398274373223,0.38039929726119,0.313303880105177,0.393842243354814,0.149516224907709,0.113725325768116,0.227061705723367,0.615034813746543,0.108103054035832,0.161888479829476,0.363739699035205,0.229635359641634,0,0.113304827467191,0.360348161737685,0.309815227922912,0.14751898464654,0.00961959555390284,0.388709702236807,0.144585615143488,0.169796519990308,0.173244915579624,0.305855874161571,0.0609302233195477,0.0209526155116434,0.136159447830819,0.136415968822529
"shoes",0.264595288073524,0.527570084402728,0.385453175619962,0.350714059528402,0.207400360013011,0.193542656234336,0.127081353274673,0.179806584925476,0.0827504590067,0.0845244138651266,0.371448354916856,0.334912962241087,0.18497188926668,0.038798234518305,0.0778348582238357,0.0460721296872576,0.306700388756661,0.327801614529978,0.147857643476784,0.167032598536644,0.191456640782598,0.241832273116896,1,0.839267267266614,0.709044653615298,0.636909129896729,0.851633035473161,0.27643731235931,0.146322553361895,0.132260024574885,0.194539730154267,0.193575420172916,0.232587984778183,0.15440447851453,0.161360546926694,0.0957960718377392,0.502241495630757,0.35927100361022,0.395841368338185,0.497074824751473,0.292518822819215,0.203512867085684,0.125082371073706,0.125201065036127,0.166810369138688,0.129098842111568,0.108795426019626,0.0880271092267455,0.170230107159639,0.204951172734593,0.143955134087759,0.180762643566558,0.145529973101996,0.32806704321703,0.144526003907991,0,0.164739633776684,0.153511187767687
"socks",0.237471350605378,0.311503674848601,0.395419088050129,0.471614056153237,0.283156761812467,0.209066683783982,0.315668207805756,0.144671487716518,0.187785617373807,0.0957976359463482,0.281113625660309,0.416290023076403,0.266748257435652,0.126164784189116,0.18461583280506,0.100835975892856,0.212577909385505,0.312576400703514,0.312322270177591,0.161961717543038,0.261075099443154,0.198292623578525,0.939988510924316,0.815622363847055,0.811273618889384,0.804969828088016,1,0.318751377782537,0.180879131253836,0.418560442973815,0.139046109649888,0,0.265980618418911,0.195483764705512,0.172331784710615,0.184899348884045,0.348974339418054,0.489561155234794,0.541849349775398,0.248485767702429,0.162774888670119,0.188706819087206,0.109546818231857,0.104269072190416,0.322400225123212,0.143343008133452,0.254373223871477,0.18580633871926,0.211128099065109,0.189744421331763,0.266413307648271,0.105444717964955,0.0176711535364667,0.127818556975525,0.189741937381249,0.129505850983048,0.222787740363086,0.209514878265906
"above",1,0.596509328901625,0.836465942337074,0.767670265760647,0.514773847254383,0.519613768309768,0.61055898700636,0.60233330388093,0.791369782983919,0.639181031246744,0.891256701330227,0.875053015786079,0.762014535410644,0.618826533122636,0.704934681868403,0.741735873746742,0.920702531389874,0.856133229884142,0.717627959860253,0.708495024334626,0.621748062491568,0.987727111185055,0.619372713198022,0,0.394753799614641,0.428612007832846,0.825640594358138,0.44972082018251,0.334781268491107,0.672743123061117,0.817868364683418,0.786615825460548,0.304495693432436,0.532001417419608,0.646027015176015,0.810231619063137,0.37867877924118,0.291094760875798,0.53764624560106,0.36234914691985,0.492846915324584,0.702541911676151,0.598653158256765,0.843287566023582,0.460242836348398,0.551132516409325,0.500887134328164,0.757701756275665,0.481270227785181,0.864706133511021,0.553624280904786,0.809696000745397,0.632952446223606,0.83709327905653,0.680095149486757,0.645609223028607,0.877785108919709,0.940995600061198
"below",0.165639300208588,0.505583023537025,0.471365498788652,0.330766984385532,0.833049679290985,0.36471212711818,0.375855487115355,0.736281122348266,0.431176040663152,0.0345676988636733,0.453228986163465,0.504671774409667,0.0389053496863177,0.627081082128229,0.308303731218346,0.114374858223979,0,0.559579901185669,0.164870910707275,0.311978319114989,0.76139895847522,0.0046551065904681,0.342469196292593,0.591699988626237,0.538075861414006,0.0899208885123667,0.134206721634745,0.488156113050831,0.241066674229494,0.369402989470343,0.360140018458525,0.172298057665436,1,0.912124400870864,0.569669348732032,0.214563215013506,0.620087704856526,0.571892173245857,0.386992434786923,0.498734383079129,0.386244382260353,0.404573240156083,0.285160139692732,0.065726955705777,0.643819744818924,0.254012024422299,0.465368034515445,0.531740706242519,0.584291738724822,0.424251334985542,0.663666823460634,0.487991596938018,0.521264708259046,0.0758726648583461,0.0157861893439282,0.395363259603316,0.0589469721543584,0.265264946663059
"beside",0.852296321352866,0.507105876559222,0.865895531615939,0.864896872009748,0.439354051895228,0.727599600006218,0.779199088384169,0.792326621796131,0.2254306052149,0.208678034829305,0.676509257491778,0.757322829429611,0.946903965702516,0.834281244494093,0.234789820531058,0.464200708855682,0.739399918605843,0.603663959479842,0.394727037825949,0.595028635916324,0.723087909307778,0.760278674088196,0.680819827209103,0.466318051808641,0.438007636410919,1,0.850502678761171,0.34907617590046,0.835950345748267,0.837046677970247,0.331986581902632,0,0.501605595576994,0.64609487124612,0.542880911872685,0.793462645915187,0.286670863606626,0.451069893092601,0.787315336438623,0.178658535140186,0.367364301572851,0.39335303929487,0.356566570401977,0.374438734533165,0.72197102382211,0.536791786538067,0.463990205917018,0.444316704276912,0.137217957229267,0.493169898451783,0.527606306663624,0.711285911935998,0.817157192812226,0.694216147688588,0.430473754028061,0.188892911041583,0.727193436373111,0.847229150407795
"far",0.0949114250859292,0.993456590244903,0.676010718466778,0.562245593662047,0.896668597395603,0.730948718576254,0.38311571723616,0.665736540429304,0.828707406727326,0.647702389799213,0.271594290366277,0.943869153989056,0.467955438434713,0.901527631216638,0.509635626708347,0.268446692893564,0.410213538281689,0.467877562895143,0.283395090606783,0.180094175758619,0.976342487791528,0.513345694791345,0.536100341422028,0.793333718988706,1,0.452957812162463,0.158017966557085,0.950442319452109,0.816930439673172,0.329292770362072,0.702724636580007,0.601400814212778,0.756752898286308,0.648938186520631,0.949965485549056,0.604579360478133,0.940649735146378,0.33884051925372,0.588512085971972,0.993059649899663,0.542369803824197,0.337102229408302,0.792351120523954,0.632823949082388,0.494805164480282,0.0680844432497082,0.522758022723028,0.295573206911498,0.302362519146027,0.235167669858976,0.396137010427656,0.528184198067872,0.755946548748395,0.335771373917283,0.430457382751838,0.0724109260671823,0,0.211529040353366
"near",0.909896627406028,0.504865933434183,0.592704026947884,0.379894937712792,0.362573872826862,0.428630021849523,0.756652121403316,0.482920099720571,0.354311495676273,0.545489693294816,0.913153338235329,0.862170888327797,1,0.467863560298663,0.885949942404251,0.672503313824075,0.74986111460656,0.815055321333,0.850805483219466,0.732496762415393,0.346227041192675,0.777667931159543,0.258580337035718,0.178166129093255,0,0.511917264679981,0.7836648624854,0.35274914635737,0.442257750200442,0.652119259143977,0.430857297715477,0.620619406173751,0.281428225574335,0.275129265849174,0.456382142202858,0.503259897612047,0.150628753527676,0.277475976965839,0.453501365836959,0.345920708196636,0.206527303152416,0.428532960989496,0.59183509136292,0.378195659174958,0.0853773793507971,0.686740853297119,0.349400307606151,0.738996815986331,0.27683963312101,0.691686754445705,0.2454890630134,0.60503903394031,0.757835825440423,0.471750454493483,0.887741755113433,0.784484128973664,0.644098716395176,0.789311283363817
