c1,c2,c3
-0.42079213268982996,0.07549446226022775,-0.09304037630247433
-0.10762106832905383,-0.25176970393763026,-0.1358024422771763
-0.42596287533948435,-0.033224711495920316,-0.06654629798773465
0.018999250854509476,-0.23374161076396133,-0.15219730219284644
-0.07512106475451796,-0.18712510732503165,-0.13987825521199276
-0.16544087394763218,0.11755985661378403,0.14355390435710172
-0.03544277018162828,0.05199354641501316,-0.15033532499746788
-0.1407015200306116,0.07915257965636738,-0.0030642284753472325
-0.08360108514093746,0.07260677530352157,-0.1605549292937586
-0.15073490945779594,0.1187493775438749,0.09575870560246667
0.18942003406145175,-0.01886805586789437,-0.2128171296393362
0.0833711750827143,0.03198165397370517,-0.236291235015811
0.1028275351880833,-0.015874061540438144,-0.20917658184531876
-0.23303896398896146,0.2788583980531702,0.17616393957857918
0.1276312028516957,-0.14685561820906803,-0.2475742441148527
-0.06500509701395937,-0.1804277077997845,0.10292969700434802
0.2866747307417291,0.14272916655927825,0.09113353271103
0.2700093039342347,0.22217174894998443,0.033131724287726934
0.17850506942953506,0.16998888625168188,-0.08190658093792944
0.19405805003211857,0.23973758678464183,-0.043364085023511856
0.08793650944734414,-0.19924148498577277,0.29747888287682717
0.28165166337750036,0.17042299227927687,0.021536824197893233
0.13922553970618126,-0.4009123041846977,0.3483367029541977
0.0626218366610496,-0.39164538491606266,0.3342282230829828
0.2025033762415686,0.08833909802404173,0.01819472525273328
-0.05630050484995234,0.10610705455775873,0.10490181160383792
-0.13858084810576257,0.16657402209366967,0.25129840318979835
-0.13590509985390725,-0.018746991837901024,-0.17119674335053464
0.022787161534480523,-0.22310571019131842,-0.23346190775068612
-0.013973625460161569,0.1690712477354893,0.3185605877172601
