concept,d1,d2,d3
dress,0.28549582,0.025912106,0.24662502
pants,0.21010363,0.21805295,-0.14329432
shirt,0.33396953,0.12877034,0.16846178
shoes,0.23351029,0.26800227,-0.13669223
socks,0.3010505,0.19565865,0.027121283
above,0.17456442,-0.0010744625,-0.06519437
below,0.15463759,0.13052881,-0.13074629
beside,0.086190216,0.08941392,0.052416183
far,0.014962604,0.03839113,-0.082940504
near,0.12286961,0.1064154,0.008270296
angry,-0.05703111,0.32068357,-0.2712822
disgust,-0.119793735,0.33885184,-0.3174892
fearful,-0.25020385,0.0707039,-0.25934428
happy,-0.13531893,-0.011921769,0.0018574612
sad,-0.05415494,0.14112236,-0.24113326
blueberry,-0.30597982,-0.28566685,0.34782135
lemon,-0.29929858,-0.12630193,0.17969371
mango,-0.19705763,-0.23187499,0.27430117
strawberry,-0.28304785,-0.1812335,0.27608958
watermelon,-0.23826382,-0.17440344,0.22579569
beach,-0.109722115,-0.13736266,0.068773575
field,0.051243242,-0.059990652,0.095767
ocean,-0.090547614,-0.094741724,-0.020746795
sky,0.06160989,-0.16224848,0.061566636
sunset,-0.033773966,-0.15484788,-0.026591314
dawn,0.02564899,-0.079881914,-0.12522067
day,-0.012783222,-0.07799114,0.0325833
dusk,0.026433399,-0.06973296,-0.08378529
night,0.036120433,-0.021759696,-0.0738232
noon,-0.07116236,-0.111724466,-0.018926818
