color_index,mean_response,v_index,L,a,b,C,H,r_rgb,g_rgb,b_rgb,r255,g255,b255,color_hex
20,0.735263158,V21,88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,#39f6e0
21,0.677631579,V22,50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,#3b8378
22,0.740855263,V23,75,-24.966,-1.3084,25.00026133,182.9999711,0.49553,0.7754,0.73022,126.36015,197.727,186.2061,#7ec6ba
23,0.691907895,V24,88,-24.966,-1.3084,25.00026133,182.9999711,0.63541,0.91934,0.87189,162.02955,234.4317,222.33195,#a2eade
24,0.158092105,V25,0,0,0,0,0,0,0,0,0,0,0,#000000
25,0.194473684,V26,25,0,0,0,0,0.23251,0.23251,0.23251,59.29005,59.29005,59.29005,#3b3b3b
26,0.315131579,V27,50,0,0,0,0,0.46633,0.46633,0.46633,118.91415,118.91415,118.91415,#777777
27,0.351315789,V28,75,0,0,0,0,0.7239,0.7239,0.7239,184.5945,184.5945,184.5945,#b9b9b9
28,0.280921053,V29,100,0,0,0,0,1,1,1,255,255,255,#ffffff
29,0.321842105,V30,88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,#dddddd
30,0.067434211,V31,25,24.966,1.3084,25.00026133,2.999971123,0.36814,0.16901,0.22803,93.8757,43.09755,58.14765,#5e2b3a
31,0.101118421,V32,50,24.966,1.3084,25.00026133,2.999971123,0.62657,0.4033,0.46106,159.77535,102.8415,117.5703,#a06776
32,0.103355263,V33,75,24.966,1.3084,25.00026133,2.999971123,0.90215,0.65899,0.71809,230.04825,168.04245,183.11295,#e6a8b7
33,0.057894737,V34,50,49.931,2.6168,49.99952403,3.000031095,0.76433,0.30881,0.45651,194.90415,78.74655,116.41005,#c34f74
34,0.027960526,V35,50,74.897,3.9252,74.99978536,3.000011104,0.89143,0.10584,0.45276,227.31465,26.9892,115.4538,#e31b73
35,0.536578947,V36,75,-51.24,22.349,55.90183719,156.4349439,0.29264,0.81366,0.55522,74.6232,207.4833,141.5811,#4bcf8e
36,0.512763158,V37,88,-51.24,22.349,55.90183719,156.4349439,0.45168,0.96053,0.69143,115.1784,244.93515,176.31465,#73f5b0
37,0.219013158,V38,25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106,#184415
38,0.314144737,V39,50,-26.274,23.657,35.3550099,138.00026,0.33427,0.50935,0.30369,85.23885,129.88425,77.44095,#55824d
39,0.384144737,V40,75,-26.274,23.657,35.3550099,138.00026,0.58834,0.77224,0.54935,150.0267,196.9212,140.08425,#96c58c
40,0.365789474,V41,88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425,#baeaaf
41,0.125,V42,25,-1.3084,24.966,25.00026133,92.99997112,0.26859,0.23099,0.078708,68.49045,58.90245,20.07054,#443b14
42,0.140131579,V43,50,-1.3084,24.966,25.00026133,92.99997112,0.51566,0.46391,0.29927,131.4933,118.29705,76.31385,#83764c
43,0.195592105,V44,75,-1.3084,24.966,25.00026133,92.99997112,0.78226,0.72092,0.54415,199.4763,183.8346,138.75825,#c7b88b
44,0.212434211,V45,88,-1.3084,24.966,25.00026133,92.99997112,0.92752,0.86218,0.67984,236.5176,219.8559,173.3592,#eddcad
45,0.071578947,V46,25,23.657,26.274,35.3550099,48.00025997,0.38773,0.16814,0.078494,98.87115,42.8757,20.01597,#632b14
46,0.096184211,V47,50,23.657,26.274,35.3550099,48.00025997,0.65938,0.40118,0.29597,168.1419,102.3009,75.47235,#a8664b
47,0.053289474,V48,75,23.657,26.274,35.3550099,48.00025997,0.94491,0.65619,0.53969,240.95205,167.32845,137.62095,#f1a78a
48,0.041578947,V49,50,48.623,27.583,55.9018606,29.56550403,0.78826,0.307,0.2939,201.0063,78.285,74.9445,#c94e4b
49,0.019934211,V50,50,73.589,28.891,79.05713631,21.43494393,0.90961,0.10388,0.29318,231.95055,26.4894,74.7609,#e81a4b
50,0.200921053,V51,50,-52.548,47.315,70.71068893,137.9996578,0.054615,0.54224,0.099689,13.926825,138.2712,25.420695,#0e8a19
51,0.281842105,V52,75,-52.548,47.315,70.71068893,137.9996578,0.40222,0.81194,0.36144,102.5661,207.0447,92.1672,#67cf5c
52,0.354013158,V53,88,-52.548,47.315,70.71068893,137.9996578,0.54989,0.95852,0.49572,140.22195,244.4226,126.4086,#8cf47e
53,0.212697368,V54,50,-27.583,48.623,55.9018606,119.565504,0.37476,0.50866,0.096059,95.5638,129.7083,24.495045,#608218
54,0.23375,V55,75,-27.583,48.623,55.9018606,119.565504,0.63947,0.77079,0.35693,163.06485,196.55145,91.01715,#a3c55b
55,0.181973684,V56,88,-27.583,48.623,55.9018606,119.565504,0.78297,0.91421,0.49082,199.65735,233.12355,125.1591,#c8e97d
56,0.094868421,V57,50,-2.6168,49.931,49.99952403,93.0000311,0.53807,0.4637,0.095726,137.20785,118.2435,24.41013,#897618
57,0.103421053,V58,75,-2.6168,49.931,49.99952403,93.0000311,0.81654,0.7198,0.35358,208.2177,183.549,90.1629,#d0b85a
58,0.114473684,V59,88,-2.6168,49.931,49.99952403,93.0000311,0.96685,0.86069,0.48682,246.54675,219.47595,124.1391,#f7db7c
59,0.062434211,V60,50,22.349,51.24,55.90183719,66.43494393,0.67414,0.40164,0.098965,171.9057,102.4182,25.236075,#ac6619
60,0.070986842,V61,75,22.349,51.24,55.90183719,66.43494393,0.97029,0.65547,0.35149,247.42395,167.14485,89.62995,#f7a75a
61,0.038355263,V62,50,47.315,52.548,70.71068893,47.99965781,0.79852,0.30871,0.10571,203.6226,78.72105,26.95605,#cc4f1b
62,0.012302632,V63,50,72.28,53.857,90.13864237,36.69039245,0.91683,0.11258,0.11559,233.79165,28.7079,29.47545,#ea1d1d
63,0.152828947,V64,88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872,#3efe44
64,0.190328947,V65,75,-53.857,72.28,90.13864237,126.6903925,0.45104,0.81154,0.061681,115.0152,206.9427,15.728655,#73cf10
65,0.181118421,V66,88,-53.857,72.28,90.13864237,126.6903925,0.60202,0.9578,0.2609,153.5151,244.239,66.5295,#9af443
66,0.155789474,V67,75,-28.891,73.589,79.05713631,111.4349439,0.66567,0.77075,0.06092,169.74585,196.54125,15.5346,#aac510
67,0.078486842,V68,88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,#d0e942
68,0.043355263,V69,75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,#d5b811
69,0.060197368,V70,88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,#fcdb42
70,0.044013158,V71,75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,#fba714
