,subject_id,trial_index,condition,pal_source,order_num,category,repetition,label_option,answer,ba`r_col,response,accuracy,total_accuracy,rt
0,nbq7wgplsd,114,"""practice_trial""",null,null,"""fruits""",null,"['mango', 'lemon', 'strawberry', 'blueberry']",blueberry,#2e3086,mango,0,,6465.0
1,nbq7wgplsd,114,"""practice_trial""",null,null,"""fruits""",null,"['mango', 'lemon', 'strawberry', 'blueberry']",lemon,#aac510,strawberry,0,,6465.0
2,nbq7wgplsd,114,"""practice_trial""",null,null,"""fruits""",null,"['mango', 'lemon', 'strawberry', 'blueberry']",mango,#f7a75a,blueberry,0,,6465.0
3,nbq7wgplsd,114,"""practice_trial""",null,null,"""fruits""",null,"['mango', 'lemon', 'strawberry', 'blueberry']",strawberry,#db1f9d,lemon,0,,6465.0
4,nbq7wgplsd,115,0,"""uw_710""",1,"""p6""",0,"['cherry', 'peach', 'eggplant', 'celery']",cherry,#ea1d1d,eggplant,0,,6566.0
5,nbq7wgplsd,115,0,"""uw_710""",1,"""p6""",0,"['cherry', 'peach', 'eggplant', 'celery']",eggplant,#600b84,cherry,0,,6566.0
6,nbq7wgplsd,115,0,"""uw_710""",1,"""p6""",0,"['cherry', 'peach', 'eggplant', 'celery']",peach,#f7a75a,peach,1,,6566.0
7,nbq7wgplsd,115,0,"""uw_710""",1,"""p6""",0,"['cherry', 'peach', 'eggplant', 'celery']",celery,#73cf10,celery,1,,6566.0
8,nbq7wgplsd,116,0,"""uw_710""",1,"""p7""",0,"['efficiency', 'sleeping', 'driving', 'speed']",efficiency,#7ec6ba,efficiency,1,,5786.0
9,nbq7wgplsd,116,0,"""uw_710""",1,"""p7""",0,"['efficiency', 'sleeping', 'driving', 'speed']",sleeping,#512d5f,sleeping,1,,5786.0
10,nbq7wgplsd,116,0,"""uw_710""",1,"""p7""",0,"['efficiency', 'sleeping', 'driving', 'speed']",speed,#e81a4b,driving,0,,5786.0
11,nbq7wgplsd,116,0,"""uw_710""",1,"""p7""",0,"['efficiency', 'sleeping', 'driving', 'speed']",driving,#184415,speed,0,,5786.0
12,nbq7wgplsd,117,0,"""uw_710""",1,"""p3""",0,"['driving', 'comfort', 'safety', 'sleeping']",driving,#ea1d1d,driving,1,,6510.0
13,nbq7wgplsd,117,0,"""uw_710""",1,"""p3""",0,"['driving', 'comfort', 'safety', 'sleeping']",safety,#d0e942,safety,1,,6510.0
14,nbq7wgplsd,117,0,"""uw_710""",1,"""p3""",0,"['driving', 'comfort', 'safety', 'sleeping']",sleeping,#000000,comfort,0,,6510.0
15,nbq7wgplsd,117,0,"""uw_710""",1,"""p3""",0,"['driving', 'comfort', 'safety', 'sleeping']",comfort,#a06776,sleeping,0,,6510.0
16,nbq7wgplsd,118,0,"""uw_710""",1,"""p2""",0,"['cherry', 'driving', 'peach', 'sleeping']",driving,#3efe44,driving,1,,5592.0
17,nbq7wgplsd,118,0,"""uw_710""",1,"""p2""",0,"['cherry', 'driving', 'peach', 'sleeping']",peach,#f1a78a,cherry,0,,5592.0
18,nbq7wgplsd,118,0,"""uw_710""",1,"""p2""",0,"['cherry', 'driving', 'peach', 'sleeping']",sleeping,#512d5f,peach,0,,5592.0
19,nbq7wgplsd,118,0,"""uw_710""",1,"""p2""",0,"['cherry', 'driving', 'peach', 'sleeping']",cherry,#ea1d1d,sleeping,0,,5592.0
20,nbq7wgplsd,119,0,"""uw_710""",1,"""p5""",0,"['working', 'leisure', 'banana', 'grape']",grape,#600b84,banana,0,,5904.0
